primaryTitle,tconst,directors,writers
Los tres huastecos,tt0040898,nm0735879,"nm0327950,nm0735879"
Late Spring,tt0041154,nm0654868,"nm0386426,nm0633792,nm0654868"
The Heiress,tt0041452,nm0943758,"nm0324537,nm0324499,nm0416556"
Kind Hearts and Coronets,tt0041546,nm0357607,"nm0395170,nm0357607,nm0226538,nm0593867"
La oveja negra,tt0041725,nm0735879,"nm0327950,nm0735879"
The Third Man,tt0041959,nm0715346,"nm0001294,nm0000080,nm0466099,nm0715346"
White Heat,tt0042041,nm0909825,"nm0324578,nm0730850,nm0446132"
All About Eve,tt0042192,nm0000581,"nm0000581,nm0650581"
The Magic Sword,tt0042359,nm0620929,"nm0229228,nm0620929"
One Day of Life,tt0042396,nm0273477,"nm0273477,nm0535796"
The Young and the Damned,tt0042804,nm0000320,"nm0017274,nm0041255,nm0000320,nm0488601,nm0211993"
Rashomon,tt0042876,nm0000041,"nm0015611,nm0000041,nm0368074"
The King of the Neighborhood,tt0042888,nm0554924,"nm0306238,nm0554924"
Sunset Blvd.,tt0043014,nm0000697,"nm0102818,nm0000697,nm0551261"
A.T.M.: ¡¡A toda máquina!!,tt0043253,nm0735879,"nm0735879,nm0211993"
Early Summer,tt0043313,nm0654868,"nm0633792,nm0654868"
Ace in the Hole,tt0043338,nm0000697,"nm0000697,nm0760488,nm0628305,nm0221528"
The Browning Version,tt0043362,nm0002190,nm0711905
The Emperor and the Golem,tt0043411,nm0294758,"nm0106404,nm0294758,nm0921276"
Forbidden Games,tt0043686,nm0167496,"nm0102030,nm0042179,nm0098204,nm0167496"
Pathala Bhairavi,tt0043908,nm0714762,"nm0710589,nm0714762,nm0710563"
A Christmas Carol,tt0044008,nm0221423,"nm0002042,nm0486538"
Two Careful Fellows,tt0044560,nm0735879,"nm0735879,nm0649651"
High Noon,tt0044706,nm0003593,"nm0286025,nm0192356"
Ikiru,tt0044741,nm0000041,"nm0000041,nm0368074,nm0644823"
Limelight,tt0044837,nm0000122,nm0000122
Nagarik,tt0044952,nm0315547,nm0315547
The Life of Oharu,tt0045112,nm0003226,"nm0407294,nm0003226,nm0406808"
Singin' in the Rain,tt0045152,"nm0002045,nm0000037","nm0173679,nm0337582"
Umberto D.,tt0045274,nm0001120,nm0953790
Do Bigha Zamin,tt0045693,nm0746950,"nm0006005,nm0536819,nm0611531"
Roman Holiday,tt0046250,nm0943758,"nm0874308,nm0402848,nm0226538"
The Wages of Fear,tt0046268,nm0167241,"nm1064118,nm0167241,nm0350823"
O scrisoare pierduta,tt0046283,"nm0018897,nm0407743",nm0135905
Sharey Chuattar,tt0046304,nm0223354,"nm0080346,nm0223354"
Stalag 17,tt0046359,nm0000697,"nm0000697,nm0089637,nm0079654,nm0874522"
Tokyo Story,tt0046438,nm0654868,"nm0633792,nm0654868"
Ugetsu,tt0046478,nm0003226,"nm0875306,nm0879907,nm0442736,nm0406808,nm1218390"
Vesna,tt0046504,nm0134898,"nm0095913,nm0134898"
A Story from Chikamatsu,tt0046851,nm0003226,"nm13302333,nm0157399,nm0442736,nm0406808"
Diabolique,tt0046911,nm0167241,"nm0092267,nm0092268,nm0167241,nm0350823,nm0557510,nm0340190"
Dial M for Murder,tt0046912,nm0000033,nm0461425
School for Tramps,tt0046961,nm0327950,"nm0422382,nm0556430,nm0297414"
Twenty-Four Eyes,tt0047281,nm0455839,"nm0455839,nm0875199"
On the Waterfront,tt0047296,nm0001415,"nm0775977,nm0425711,nm0802563"
Rear Window,tt0047396,nm0000033,"nm0371088,nm0941280"
Sansho the Bailiff,tt0047445,nm0003226,"nm0605286,nm0297687,nm0406808"
Seven Samurai,tt0047478,nm0000041,"nm0000041,nm0368074,nm0644823"
La strada,tt0047528,nm0000019,"nm0000019,nm0684083,nm0280919"
Rififi,tt0048021,nm0202088,"nm0494138,nm0202088,nm0923941"
The Night of the Hunter,tt0048424,nm0001452,"nm0344181,nm0012938,nm0001452"
Ordet,tt0048452,nm0003433,"nm0612924,nm0003433"
Pather Panchali,tt0048473,nm0006249,"nm0051808,nm0006249"
Sanshiro Sugata,tt0048583,nm0849060,"nm0000041,nm0866744"
The Unknown Soldier,tt0048752,nm0481838,"nm0513028,nm0627285"
Aparajito,tt0048956,nm0006249,"nm0051808,nm0006249,nm5581192"
The Burmese Harp,tt0049012,nm0406728,"nm0847633,nm0905271"
Stay Alert,tt0049378,"nm0596237,nm0593963","nm0007815,nm0596237,nm0593963"
The Killing,tt0049406,nm0000040,"nm0000040,nm0860292,nm0925137"
A Man Escaped,tt0049902,nm0000975,"nm0222519,nm0000975"
12 Angry Men,tt0050083,nm0001486,nm0741627
The Bridge on the River Kwai,tt0050212,nm0000180,"nm0099541,nm0286025,nm0933858"
Do Ankhen Barah Haath,tt0050322,nm0788391,nm0534848
Doua lozuri,tt0050332,"nm0586233,nm0619321","nm0135905,nm0313695,nm0586233,nm0619321"
A Face in the Crowd,tt0050371,nm0001415,nm0775977
Throne of Blood,tt0050613,nm0000041,"nm0644823,nm0368074,nm0452878,nm0000041,nm0000636"
The Cranes Are Flying,tt0050634,nm0435563,nm0747657
Nights of Cabiria,tt0050783,nm0000019,"nm0000019,nm0280919,nm0684083,nm0001596,nm0740021"
Paths of Glory,tt0050825,nm0000040,"nm0000040,nm0932229,nm0860292,nm0167767"
Thirst,tt0050870,nm0244870,"nm0023551,nm8859896"
The Seventh Seal,tt0050976,nm0000005,nm0000005
Wild Strawberries,tt0050986,nm0000005,nm0000005
Sweet Smell of Success,tt0051036,nm0533241,"nm0644048,nm0499626,nm0533241"
Tokyo Twilight,tt0051093,nm0654868,"nm0633792,nm0654868"
Witness for the Prosecution,tt0051201,nm0000697,"nm0002005,nm0000697,nm0475823,nm0546140"
Bari Theke Paliye,tt0051399,nm0315547,"nm0149827,nm0315547"
D-ale carnavalului,tt0051509,"nm0586233,nm0619321",nm0135905
H-8...,tt0051693,nm0849416,"nm0075444,nm0125182,nm0849416"
Hello London,tt0051715,nm0809967,"nm0257700,nm0765109,nm0288708,nm0255425"
The Hidden Fortress,tt0051808,nm0000041,"nm0452878,nm0644823,nm0368074,nm0000041"
Life Is a Circus,tt0051863,nm0346436,"nm0346436,nm0372679,nm0912888"
We Only Live Once,tt0051927,nm0419485,nm0419485
Touch of Evil,tt0052311,nm0000080,"nm0000080,nm0557767,nm0168759,nm0597574"
Vertigo,tt0052357,nm0000033,"nm0178785,nm0853138,nm0092267,nm0092268,nm0027173"
Anatomy of a Murder,tt0052561,nm0695937,"nm0562606,nm0871261"
The World of Apu,tt0052572,nm0006249,"nm0051808,nm0006249"
Ballad of a Soldier,tt0052600,nm0161055,"nm0161055,nm0947899"
Ben-Hur,tt0052618,nm0943758,"nm0908753,nm0876562,nm0000683,nm0027173,nm0067103,nm0296737"
The Bridge,tt0052654,nm0926919,"nm1537957,nm0543773,nm0666710,nm0926919"
The Great War,tt0052861,nm0598102,"nm0408488,nm0769249,nm0898812,nm0598102"
Jazz on a Summer's Day,tt0052942,"nm0827644,nm0042719","nm0195331,nm0674135"
The Human Condition I: No Greater Love,tt0053114,nm0462030,"nm0559695,nm0462030,nm0327113"
The Human Condition II: Road to Eternity,tt0053115,nm0462030,"nm0559695,nm0462030,nm0327113"
