startYear	numVotes
2001	28663.333333333332
2018	7517.0
1984	5057.323489932886
1985	4647.714846304774
1980	4392.151648351648
1986	4352.445960125918
1902	4171.7692307692305
1982	4132.77151120752
1983	3686.1755829903977
1975	3560.597590361446
1979	3549.5495049504952
1981	3491.714606741573
1972	3020.148401826484
1977	2972.6963470319633
1974	2904.793413173653
1976	2890.8400303260046
1971	2725.8016129032258
1973	2715.2609375
1968	2615.5035335689045
1964	2611.2224554039876
1893	2570.0
1957	2473.4558270676694
1960	2472.2880085653105
1962	2399.721174004193
1966	2387.4447539461466
1978	2345.8392070484583
1959	2306.1828877005346
1888	2257.8
1954	2254.383547008547
1963	2213.15899122807
1967	2077.412241224122
1965	1942.3439752832132
1946	1875.5077138849929
1994	1812.2112921495163
1874	1753.0
1999	1737.9410536657251
1878	1704.0
1961	1698.139344262295
1969	1596.2094196804037
1895	1595.888888888889
2001	1595.649545864981
1995	1571.5642961519727
1950	1564.2502756339582
1955	1539.9798387096773
1939	1534.3591923485653
1997	1520.2530485655882
1958	1516.159595959596
2004	1514.0220507614213
1948	1471.2564766839378
2002	1468.8159706959707
1970	1462.7121993127148
1951	1460.1349480968859
1941	1454.68
1940	1441.1969696969697
1998	1440.2709908475924
1953	1438.9491353001017
1942	1424.9968944099378
2003	1423.7571839736854
2000	1423.2878805153346
2008	1410.7362044070562
1903	1406.3333333333333
2007	1373.0962586269525
1993	1341.6321536144578
2005	1321.0435029854991
2010	1306.2092681438753
2011	1301.9537381348468
2006	1300.1555243476273
2013	1287.6387822515846
2009	1286.1508654545455
1956	1270.1371951219512
1990	1240.9265830854229
1952	1190.8505494505494
2014	1188.3246624263043
1992	1172.7710793020583
1989	1158.914643277356
1996	1153.8339908718187
1988	1149.054375225063
1944	1147.267489711934
2012	1093.8570975272546
1949	1091.910071942446
1991	1065.0028213166145
1931	1060.6882591093117
1883	1053.0
1987	1045.6602660497397
1894	1042.6666666666667
1945	1007.5670261941449
2015	989.6177887559711
2016	977.998537408588
1947	958.4698457223002
2017	890.4770967625769
1927	888.8410138248848
2019	880.0448820419133
1921	872.804
1922	817.8185483870968
1890	792.6666666666666
2018	782.8740137758297
1925	775.7953367875648
1988	760.5
1892	733.0
2021	725.4468669628244
1936	725.4096742349457
1933	706.8769035532995
2022	701.8795827123696
1989	677.4705882352941
1937	674.5377551020408
1943	661.1699029126214
1932	658.2687116564417
1938	612.4843243243243
1928	610.3082191780821
1891	595.3
1920	594.16
1904	578.7777777777778
1924	575.6370106761566
2020	571.3904098904098
1935	557.9811320754717
1934	549.6235827664399
1987	520.0555555555555
1929	512.892
1986	502.3978087909221
1990	497.125
1930	461.18138041733545
1926	455.45652173913044
1901	446.6842105263158
1899	415.2083333333333
1906	412.6470588235294
1885	402.0
1889	357.5
1923	345.39285714285717
2005	327.0
1896	321.65714285714284
1914	313.01234567901236
1892	304.0
1881	296.0
1916	290.6666666666667
1915	289.5543859649123
1905	280.2307692307692
1900	278.1621621621622
1919	270.0676691729323
1897	257.05555555555554
1894	254.74193548387098
1898	248.53571428571428
1992	247.0
1918	220.4453781512605
2023	213.40976645435245
1917	209.3452380952381
1907	177.88
2006	174.5
1893	171.5
2014	166.0
2020	163.0
1887	161.22222222222223
1913	154.79166666666666
1895	153.30526315789473
1912	144.21857923497268
1993	139.71428571428572
1995	139.4
1999	138.0
1991	126.57142857142857
1910	124.46923076923076
1901	123.49561403508773
1911	116.31386861313868
1908	115.05
1903	105.08461538461539
1900	103.56985294117646
1909	102.98351648351648
1896	102.68971332209107
1975	98.09566383549397
1905	97.27230046948357
1964	95.87196726103478
1967	92.44382148463781
1985	92.05249569707401
1882	92.0
1877	90.5
1904	89.93172690763052
1966	89.60479739170937
1977	89.35755102040817
1960	87.20747001090513
1963	86.86517199017199
1983	86.26767950804847
1968	86.04208037825059
\N	85.83396226415094
1978	85.17384615384616
1907	84.36796536796537
1898	84.04973821989529
1976	82.70727986050566
1962	81.43213728549142
1906	80.78656126482214
1961	79.73131478450627
1940	77.37629937629937
1974	77.10681399631676
1973	76.35455764075067
1980	76.26280991735537
1899	75.67857142857143
1972	75.15652379824769
1981	74.75203748981255
1982	74.6205680705191
1984	74.27642547515839
1971	72.81483242215356
1969	72.29039497307002
1979	71.83004406974516
1965	71.40014559572919
1902	69.39108910891089
1959	68.1284834262247
2010	68.0
1908	67.31858407079646
1897	66.37101449275362
1956	62.93032977241059
1970	61.79119351100811
1945	57.67403314917127
2016	56.5
1921	56.43564356435643
1957	55.83516483516483
1926	55.06028368794326
1909	53.82722513089005
1947	53.57964601769911
1955	52.99276061776062
1943	52.44911504424779
1928	52.37386018237082
1958	51.93282015395381
1922	50.8972972972973
2021	50.4
1948	50.234468937875754
1944	49.6284289276808
1937	49.40449438202247
1929	48.989333333333335
1952	48.45615446500402
1934	48.153318077803206
1933	47.697435897435895
1910	46.644194756554306
1946	46.6284289276808
1936	45.932853717026376
1949	44.92197452229299
1941	44.87719298245614
1916	44.07692307692308
1919	44.071895424836605
1935	43.75480769230769
1930	43.461333333333336
1938	43.115830115830114
1924	41.86190476190476
1927	41.66095890410959
1954	41.59724828017511
1939	41.38461538461539
1950	41.29498164014688
1925	41.15384615384615
1953	40.327462491846056
1915	40.01
1931	39.94444444444444
1932	39.526582278481015
1942	38.95454545454545
1951	38.696
1912	38.63681592039801
1917	38.544378698224854
1918	36.07971014492754
1913	35.583333333333336
1914	33.7514450867052
1923	33.40816326530612
1920	30.82191780821918
1911	29.490506329113924
2019	18.0
2000	16.0
