primaryTitle,startYear,averageRating,directors,genres,numVotes,originalTitle,runtimeMinutes,tconst,writers
Variola Vera,1982,8.1,nm0548648,"Drama,History,Horror",2790,Variola vera,110,tt0083275,"nm0548648,nm0631892"
Bill Cosby: Himself,1983,8.1,nm0001070,"Comedy,Documentary",3589,Bill Cosby: Himself,105,tt0083652,nm0001070
Blade Runner,1982,8.1,nm0000631,"Action,Drama,Sci-Fi",773387,Blade Runner,117,tt0083658,"nm0266684,nm0672459,nm0001140"
Fanny and Alexander,1982,8.1,nm0000005,Drama,64676,Fanny och Alexander,188,tt0083922,nm0000005
Fitzcarraldo,1982,8.0,nm0001348,"Adventure,Drama",35762,Fitzcarraldo,158,tt0083946,nm0001348
Gandhi,1982,8.0,nm0000277,"Biography,Drama,History",233281,Gandhi,191,tt0083987,nm0109300
The Marathon Family,1982,8.9,nm0797672,"Comedy,Drama",16099,Maratonci trce pocasni krug,92,tt0084302,nm0468169
Death of Yazdgerd,1982,8.4,nm0067323,"Drama,History",1093,Marg Yazdgerd,110,tt0084304,nm0067323
Pink Floyd: The Wall,1982,8.0,nm0000570,"Drama,Fantasy,Music",81904,Pink Floyd: The Wall,95,tt0084503,nm0914166
Interrogation,1989,8.0,nm0003794,"Crime,Drama,Thriller",3407,Przesluchanie,118,tt0084548,"nm0003794,nm0245913"
A Tight Spot,1982,8.2,nm0590525,Comedy,3413,Tesna koza,92,tt0084780,"nm0667637,nm0667641"
The Thing,1982,8.2,nm0000118,"Horror,Mystery,Sci-Fi",428449,The Thing,109,tt0084787,"nm0484111,nm0132168"
The Weavers: Wasn't That a Time,1981,8.3,nm0113845,"Documentary,Music",215,The Weavers: Wasn't That a Time,78,tt0084894,nm0371630
The Road,1982,8.0,"nm0351566,nm0351410",Drama,13801,Yol,107,tt0084934,nm0351566
Adaminte Variyellu,1983,8.0,nm0313489,Drama,120,Adaminte Variyellu,142,tt0085137,"nm0313489,nm0707898,nm2405970"
Ardh Satya,1983,8.1,nm0631539,"Crime,Drama",1816,Ardh Satya,130,tt0085178,"nm1135640,nm0222147,nm0659924,nm0854919"
Barefoot Gen,1983,8.0,nm0556048,"Animation,Biography,Drama",8160,Hadashi no Gen,83,tt0085218,nm0620451
The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War,1984,8.1,"nm0118756,nm0233482,nm0798134",Documentary,131,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War,98,tt0085610,"nm0118756,nm0233482,nm0798134"
Jaane Bhi Do Yaaro,1983,8.3,nm0787453,"Comedy,Crime,Drama",14227,Jaane Bhi Do Yaaro,132,tt0085743,"nm0438499,nm0442479,nm0592803,nm0787453"
Koyaanisqatsi,1982,8.2,nm0716585,"Documentary,Music",39121,Koyaanisqatsi,86,tt0085809,"nm0294825,nm0716585,nm0006129,nm0909479,nm7030243,nm10878502,nm10878503,nm0213499,nm10878504"
Masoom,1983,8.4,nm0001408,Drama,4144,Masoom,165,tt0085913,nm0347899
Nostalghia,1983,8.0,nm0001789,Drama,27701,Nostalghia,125,tt0086022,"nm0001789,nm0346096"
Rembetiko,1983,8.1,nm0002948,"Drama,Music",2951,Rembetiko,110,tt0086182,"nm0002948,nm0502845"
Star Wars: Episode VI - Return of the Jedi,1983,8.3,nm0549658,"Action,Adventure,Fantasy",1056712,Star Wars: Episode VI - Return of the Jedi,131,tt0086190,"nm0001410,nm0000184"
Sadma,1983,8.3,nm0536818,"Drama,Romance",3300,Sadma,141,tt0086230,"nm0347899,nm0536818"
Sagara Sangamam,1983,8.8,nm0899649,"Drama,Music,Musical",3419,Sagara Sangamam,160,tt0086231,"nm0417386,nm0899649"
Scarface,1983,8.3,nm0000361,"Crime,Drama",844691,Scarface,170,tt0086250,"nm0000231,nm0001328,nm0372942,nm0870660"
State buoni se potete,1983,8.0,nm0536238,"Comedy,Drama,History",1383,State buoni se potete,115,tt0086358,"nm0536238,nm0953301"
Amadeus,1984,8.4,nm0001232,"Biography,Drama,Music",403312,Amadeus,160,tt0086879,"nm0787323,nm0537004"
Tosca's Kiss,1984,8.0,nm0006357,"Documentary,Music",195,Il Bacio di Tosca,87,tt0086928,nm0006357
Balkan Spy,1984,8.8,"nm0468169,nm0631872","Comedy,Drama",11731,Balkanski spijun,95,tt0086935,nm0468169
Strangler vs. Strangler,1984,8.1,nm0797672,"Comedy,Crime,Horror",3864,Davitelj protiv davitelja,96,tt0087123,"nm0657033,nm0797672"
Hibiscus Town,1987,8.2,nm0944527,"Drama,History,Romance",1070,Fu rong zhen,164,tt0087301,"nm0155531,nm0345149,nm0944527"
"Blue Mountains, or Unbelievable Story",1983,8.7,nm0791542,"Comedy,Drama",2013,Tsisperi mtebi anu daujerebeli ambavi,97,tt0087349,"nm0154992,nm0791542"
"István, a király",1984,8.3,nm0464424,"Drama,History,Music",1039,"István, a király",100,tt0087488,"nm0092805,nm0117619,nm0464424,nm0844496"
Nausicaä of the Valley of the Wind,1984,8.0,nm0594503,"Adventure,Animation,Sci-Fi",170885,Kaze no tani no Naushika,117,tt0087544,"nm0594503,nm1248357,nm1248358,nm0411872"
Love and Doves,1985,8.0,nm0579828,"Comedy,Drama,Romance",5026,Lyubov i golubi,107,tt0087650,nm0348636
Give the Devil His Due,1985,8.1,nm0090477,"Adventure,Comedy,Family",1207,S certy nejsou zerty,95,tt0087731,"nm0433105,nm0090477,nm0625846,nm0970225"
Once Upon a Time in America,1984,8.3,nm0001466,"Crime,Drama",354142,Once Upon a Time in America,229,tt0087843,"nm0340580,nm0073053,nm0207401,nm0575804,nm0033490,nm0274853,nm0001466,nm0436757,nm0002759"
"Paris, Texas",1984,8.1,nm0000694,Drama,107915,"Paris, Texas",145,tt0087884,"nm0141281,nm0001731,nm0232924"
Saaransh,1984,8.1,nm0080315,Drama,1957,Saaransh,137,tt0088031,"nm0080315,nm0002695,nm0784044"
The Holy Innocents,1984,8.1,nm0133426,Drama,4199,Los santos inocentes,107,tt0088040,"nm0217154,nm0488613,nm0559120,nm0133426"
Stop Making Sense,1984,8.6,nm0001129,"Documentary,Music",15714,Stop Making Sense,88,tt0088178,"nm0001129,nm0848088"
Streetwise,1984,8.2,nm0068385,"Documentary,Drama",2515,Streetwise,91,tt0088196,nm0564625
The Terminator,1984,8.1,nm0000116,"Action,Sci-Fi",868624,The Terminator,107,tt0088247,"nm0000116,nm0005036,nm0936537"
The Times of Harvey Milk,1984,8.2,nm0258531,"Biography,Documentary,History",6264,The Times of Harvey Milk,90,tt0088275,"nm0168012,nm0933145,nm0258531"
The Elusive Summer of '68,1984,8.5,nm0664607,"Comedy,Drama,Romance",5638,Varljivo leto '68,91,tt0088338,"nm0586235,nm0664607"
Back to the Future,1985,8.5,nm0000709,"Adventure,Comedy,Sci-Fi",1208532,Back to the Future,116,tt0088763,"nm0000709,nm0301826"
Waiting for the Hearse,1985,8.0,nm0233608,Comedy,6637,Esperando la carroza,94,tt0089108,"nm0233608,nm0486700"
Ran,1985,8.2,nm0000041,"Action,Drama,War",126978,Ran,162,tt0089881,"nm0000041,nm0644823,nm0406836,nm0000636"
Shoah,1985,8.7,nm0487351,"Documentary,History,War",9674,Shoah,566,tt0090015,\N
Swathi Muthyam,1986,8.5,nm0899649,"Drama,Family,Romance",855,Swathi Muthyam,160,tt0090109,"nm0756580,nm0899649"
Voro-Nova,1984,8.0,"nm0726914,nm0887376","Drama,Mystery",2092,Voro-Nova,86,tt0090275,"nm0726914,nm0887376"
Wreaths at the Foot of the Mountain,1985,8.1,nm0944527,"Drama,War",288,Gao shan xia de hua huan,139,tt0090340,"nm7377641,nm1287790"
A Cruel Romance,1984,8.0,nm0752922,"Drama,Romance",3711,Zhestokiy romans,142,tt0090368,"nm0652534,nm0752922"
Aliens,1986,8.4,nm0000116,"Action,Adventure,Sci-Fi",720597,Aliens,137,tt0090605,"nm0000116,nm0318429,nm0001353,nm0639321,nm0795953"
The Wall,1983,8.0,nm0351566,Drama,4253,Duvar,117,tt0090982,nm0351566
Ethnic Notions,1986,8.0,nm0726705,Documentary,493,Ethnic Notions,57,tt0091018,\N
Come and See,1985,8.4,nm0459552,"Drama,Thriller,War",81556,Idi i smotri,142,tt0091251,"nm0010696,nm0459552"
Permission,1987,8.4,nm0347899,"Drama,Musical,Romance",1574,Ijaazat,137,tt0091256,"nm0315926,nm0347899"
Jean de Florette,1986,8.1,nm0001945,"Comedy,Drama",26267,Jean de Florette,120,tt0091288,"nm0656528,nm0001945,nm0102722"
The Beauty of Vice,1986,8.0,nm0631915,Drama,2110,Lepota poroka,105,tt0091398,"nm0631878,nm0631915"
Manon of the Spring,1986,8.0,nm0001945,"Drama,Romance",22773,Manon des sources,113,tt0091480,"nm0656528,nm0001945,nm0102722"
Mouna Ragam,1986,8.4,"nm0024303,nm0711745","Drama,Romance",4047,Mouna Ragam,146,tt0091559,"nm0024303,nm0711745"
Platoon,1986,8.1,nm0000231,"Drama,War",416727,Platoon,120,tt0091763,nm0000231
Ricochets,1986,8.1,nm0169348,"Drama,War",112,Shtei Etzbaot Mi'Tzidon,91,tt0091950,"nm0169348,nm0450072,nm0623124"
St. John in Exile,1986,8.3,nm0193303,Drama,237,St. John in Exile,92,tt0092001,nm1454004
Stand by Me,1986,8.1,nm0001661,"Adventure,Drama",407019,Stand by Me,89,tt0092005,"nm0000175,nm0317279,nm0262595"
Castle in the Sky,1986,8.0,nm0594503,"Adventure,Animation,Family",168311,Tenkû no shiro Rapyuta,125,tt0092067,"nm0594503,nm0842605"
Anantaram,1987,8.0,nm0329715,Drama,290,Anantaram,125,tt0092557,nm0329715
"Goodbye, Children",1987,8.0,nm0001501,"Drama,War",34411,Au revoir les enfants,104,tt0092593,nm0001501
The Emperor's Naked Army Marches On,1987,8.2,nm0361672,"Documentary,War",1931,"Yuki yukite, shingun",122,tt0092963,\N
Tales of the Brothers Quay,1987,8.2,"nm0703028,nm0703029","Animation,Documentary",434,The Films of the Brothers Quay,78,tt0093025,\N
Full Metal Jacket,1987,8.3,nm0000040,"Drama,War",745518,Full Metal Jacket,116,tt0093058,"nm0000040,nm0380282,nm0368007"
Hachi-ko,1987,8.0,nm0477771,"Biography,Drama,Family",5405,Hachikô monogatari,107,tt0093132,nm0793881
Hero: The Official Film of the 1986 FIFA World Cup,1986,8.0,nm0562699,"Documentary,Sport",606,Hero: The Official Film of the 1986 FIFA World Cup,86,tt0093181,nm0562699
The Hero's Journey: The World of Joseph Campbell,1987,8.1,"nm0050998,nm0447842","Biography,Documentary",221,The Hero's Journey: The World of Joseph Campbell,58,tt0093183,"nm0050998,nm0184071,nm5232807"
Wings of Desire,1987,8.0,nm0000694,"Drama,Fantasy,Romance",72138,Der Himmel über Berlin,128,tt0093191,"nm0000694,nm0359563,nm0718637,nm0252065"
It Was 20 Years Ago Today,1987,8.8,nm2778011,"Documentary,Music",107,It Was 20 Years Ago Today,\N,tt0093285,\N
Jimi Plays Monterey,1986,8.1,"nm0373698,nm0672060","Documentary,Music",1323,Jimi Plays Monterey,50,tt0093312,\N
Where Is the Friend's House?,1987,8.1,nm0452102,"Drama,Family",15764,Khane-ye doust kodjast?,83,tt0093342,nm0452102
Queen Live in Budapest,1987,8.6,nm0958183,"Documentary,Music",1076,Varázslat - A Queen Budapesten,90,tt0093427,\N
Nayakan,1987,8.6,nm0711745,"Crime,Drama",20662,Nayakan,145,tt0093603,"nm0049400,nm0707366,nm0711745"
A Tale from the Past,1987,8.2,nm0025576,Comedy,230,Përralle Nga e Kaluara,86,tt0093720,"nm0025576,nm1042059"
Repentance,1984,8.1,nm0002156,Drama,4608,Monanieba,153,tt0093754,"nm0002156,nm0246119,nm0476979"
The Princess Bride,1987,8.0,nm0001661,"Adventure,Family,Fantasy",430055,The Princess Bride,98,tt0093779,nm0001279
Sign 'o' the Times,1987,8.0,"nm0002239,nm0389514,nm0536299","Documentary,Music",2282,Sign 'o' the Times,85,tt0093970,\N
Depeche Mode: 101,1989,8.1,"nm0205964,nm0373698,nm0672060","Documentary,Music",1818,Depeche Mode: 101,120,tt0094590,\N
Akira,1988,8.0,nm0960028,"Action,Animation,Drama",188760,Akira,124,tt0094625,"nm0960028,nm0368051"
Big Time,1988,8.0,nm0089625,"Documentary,Music",856,Big Time,87,tt0094743,"nm0107333,nm0001823"
The Blizzard of AAHHH's,1988,8.2,nm0836202,"Documentary,Sport",122,The Blizzard of AAHHH's,75,tt0094760,\N
Die Hard,1988,8.2,nm0001532,"Action,Thriller",887920,Die Hard,132,tt0095016,"nm0861636,nm0835732,nm0211823"
Grave of the Fireflies,1988,8.5,nm0847223,"Animation,Drama,War",279464,Hotaru no haka,89,tt0095327,"nm0636435,nm0847223"
A Short Film About Love,1988,8.2,nm0001425,"Drama,Romance",24057,Krótki film o milosci,87,tt0095467,"nm0001425,nm0682830"
A Short Film About Killing,1988,8.0,nm0001425,"Crime,Drama",20754,Krótki film o zabijaniu,84,tt0095468,"nm0682830,nm0001425"
The Moromete Family,1987,8.8,nm0347720,Drama,4009,Morometii,142,tt0095657,"nm0347720,nm0695737"
Cinema Paradiso,1988,8.5,nm0868153,"Drama,Romance",262956,Nuovo Cinema Paradiso,155,tt0095765,"nm0868153,nm0660031"
Rain Man,1988,8.0,nm0001469,Drama,517500,Rain Man,133,tt0095953,"nm0607454,nm0060103"
The Thin Blue Line,1988,8.0,nm0001554,"Crime,Documentary",24816,The Thin Blue Line,101,tt0096257,nm0001554
My Neighbor Totoro,1988,8.1,nm0594503,"Animation,Comedy,Family",342266,Tonari no Totoro,86,tt0096283,nm0594503
Landscape in the Mist,1988,8.0,nm0000766,Drama,8746,Topio stin omihli,127,tt0096288,"nm0000766,nm0346096,nm0885407"
Time of Violence,1988,9.0,nm0821552,Drama,2257,Vreme na nasilie,288,tt0096403,"nm0199101,nm0232340,nm1097845,nm0817153"
Apoorva Sagodharargal,1989,8.3,nm0801870,"Action,Comedy,Drama",4257,Apoorva Sagodharargal,157,tt0096827,"nm1180694,nm0352032,nm0430801,nm1190372,nm0707366"
"Bashu, the Little Stranger",1989,8.0,nm0067323,"Drama,War",2999,"Bashu, gharibeye koochak",120,tt0096894,nm0067323
Champions Forever,1989,8.0,nm0517768,"Documentary,Sport",207,Champions Forever,90,tt0097042,"nm0342660,nm0814164"
Common Threads: Stories from the Quilt,1989,8.1,"nm0258531,nm0295243","Biography,Documentary,History",919,Common Threads: Stories from the Quilt,79,tt0097099,"nm0258531,nm0295243,nm1196240"
Dead Poets Society,1989,8.1,nm0001837,"Comedy,Drama",494720,Dead Poets Society,128,tt0097165,nm0776114
Time of the Gypsies,1988,8.1,nm0001437,"Comedy,Crime,Drama",31219,Dom za vesanje,142,tt0097223,"nm0001437,nm0586235"
Entertaining the Troops,1988,8.8,nm0611188,"Documentary,War",216,Entertaining the Troops,90,tt0097282,nm0611188
For All Mankind,1989,8.1,nm0718031,"Documentary,History",5932,For All Mankind,80,tt0097372,\N
Gitanjali,1989,8.3,nm0711745,"Drama,Romance",2604,Gitanjali,150,tt0097437,"nm0707366,nm0711745"
Indiana Jones and the Last Crusade,1989,8.2,nm0000229,"Action,Adventure",758020,Indiana Jones and the Last Crusade,127,tt0097576,"nm0090151,nm0000184,nm0583675,nm0442241"
Dull Ice Flower,1989,8.3,nm0946018,"Drama,Family",409,Lu bing hua,99,tt0097791,"nm0159044,nm0943150"
Mathilukal,1990,8.3,nm0329715,"Drama,Romance",1527,Mathilukal,120,tt0097851,"nm0059775,nm0329715"
Near Death,1989,8.3,nm0936464,Documentary,234,Near Death,358,tt0097959,\N
Red Dawn,1989,8.0,nm0284639,"Drama,Thriller",1876,Rojo amanecer,96,tt0098214,"nm0650877,nm0733394"
Route One USA,1989,8.0,nm0469650,Documentary,271,Route One USA,255,tt0098227,nm0469650
The Architecture of Doom,1989,8.0,nm0169679,"Documentary,History",1087,Undergångens arkitektur,119,tt0098559,nm0169679
Don't Let Them Shoot the Kite,1989,8.3,nm0059633,"Crime,Drama",6832,Uçurtmayi Vurmasinlar,85,tt0098573,"nm0059633,nm0959890"
Anjali,1990,8.2,nm0711745,Drama,3065,Anjali,150,tt0099043,"nm0711745,nm0796503"
Dances with Wolves,1990,8.0,nm0000126,"Adventure,Drama,Western",267920,Dances with Wolves,181,tt0099348,nm0086658
Goodfellas,1990,8.7,nm0000217,"Biography,Crime,Drama",1164063,Goodfellas,145,tt0099685,"nm0683380,nm0000217"
Hamoun,1990,8.0,nm0576529,Drama,6937,Hamoun,120,tt0099729,nm0576529
Close-Up,1990,8.2,nm0452102,"Biography,Crime,Drama",20460,Nema-ye Nazdik,98,tt0100234,nm0452102
Paris Is Burning,1990,8.2,nm0515255,Documentary,15923,Paris Is Burning,71,tt0100332,\N
The Master Carpenter,1991,8.0,nm0014976,"Drama,History",391,Perumthachan,140,tt0100354,nm0619760
Step Across the Border,1990,8.1,"nm0401695,nm0672437","Documentary,Music",320,Step Across the Border,90,tt0100692,"nm0401695,nm0672437"
The Stranger,1991,8.0,nm0006249,Drama,4057,Agantuk,120,tt0101279,nm0006249
Beauty and the Beast,1991,8.0,"nm0873779,nm0936374","Animation,Family,Fantasy",457521,Beauty and the Beast,84,tt0101414,"nm0941314,nm0152312,nm0761498,nm0560329,nm0363125,nm0683724,nm0940849,nm0710020,nm0254085,nm0038432,nm0501729,nm0207305,nm3343855"
Behind the Mask,1991,8.2,nm0552295,"Documentary,War",121,Behind the Mask,75,tt0101423,"nm1646189,nm3761266"
Black Widow,1991,8.3,\N,Documentary,102,Black Widow,\N,tt0101466,\N
Raise the Red Lantern,1991,8.1,nm0955443,"Drama,Romance",33280,Da hong denglong gaogao gua,125,tt0101640,"nm0867263,nm0955600"
Thalapathi,1991,8.5,nm0711745,"Action,Crime,Drama",12504,Thalapathi,157,tt0101649,"nm0711745,nm1391608"
A Brighter Summer Day,1991,8.3,nm0945981,"Crime,Drama,Romance",10926,Gu ling jie shao nian sha ren shi jian,237,tt0101985,"nm0393297,nm0591312,nm0795908,nm0945981"
Hearts of Darkness: A Filmmaker's Apocalypse,1991,8.1,"nm0046943,nm0382584,nm0178880",Documentary,21870,Hearts of Darkness: A Filmmaker's Apocalypse,96,tt0102015,"nm0046943,nm0382584"
JFK,1991,8.0,nm0000231,"Drama,History,Thriller",158267,JFK,189,tt0102138,"nm0308426,nm0550285,nm0000231,nm0804466"
Kit Kat,1991,8.3,nm0008150,"Comedy,Drama,Romance",2332,Kit Kat,129,tt0102223,"nm0008150,nm3719264"
Mother,1990,8.5,nm0368688,Drama,4881,Madar,108,tt0102369,nm0368688
Prahaar: The Final Attack,1991,8.0,"nm1823221,nm0007113","Action,Crime,Drama",2044,Prahaar: The Final Attack,151,tt0102701,"nm1195250,nm0007113,nm0784044"
The Silence of the Lambs,1991,8.6,nm0001129,"Crime,Drama,Thriller",1435300,The Silence of the Lambs,118,tt0102926,"nm0365383,nm0848217"
Terminator 2: Judgment Day,1991,8.6,nm0000116,"Action,Sci-Fi",1101812,Terminator 2: Judgment Day,137,tt0103064,"nm0000116,nm0936537"
Aladdin,1992,8.0,"nm0166256,nm0615780","Adventure,Animation,Comedy",423636,Aladdin,90,tt0103639,"nm0166256,nm0615780,nm0254645,nm0744429,nm0560329,nm0021249,nm0423161,nm0363125,nm0629734,nm0322368,nm0740311,nm0500858,nm0969162,nm0361315,nm0510674,nm0715949,nm1061362,nm0761498,nm0683724,nm0893358"
Baraka,1992,8.5,nm0294825,Documentary,39380,Baraka,96,tt0103767,"nm0294825,nm0536056,nm0629382,nm0629368,nm6897793"
Cilveka berns,1992,8.0,nm0834168,"Comedy,Drama,Fantasy",483,Cilveka berns,98,tt0103971,"nm1058715,nm0834168"
Ishi: The Last Yahi,1993,8.0,"nm0726453,nm0731474",Documentary,114,Ishi: The Last Yahi,57,tt0104531,nm0538484
Jo Jeeta Wohi Sikandar,1992,8.2,nm0451257,"Comedy,Drama,Romance",23549,Jo Jeeta Wohi Sikandar,174,tt0104561,"nm0403826,nm0451257"
Lessons of Darkness,1992,8.0,nm0001348,"Documentary,War",6169,Lektionen in Finsternis,54,tt0104706,nm0001348
Manufacturing Consent: Noam Chomsky and the Media,1992,8.1,"nm0009788,nm0936092","Biography,Documentary,War",4791,Manufacturing Consent: Noam Chomsky and the Media,167,tt0104810,\N
We Are Not Angels,1992,8.3,nm0236729,"Comedy,Fantasy,Romance",8978,Mi nismo andjeli,98,tt0104860,nm0236729
Ram Ke Naam,1992,8.8,nm0666674,Documentary,766,Ram Ke Naam,90,tt0105208,nm0666674
Reservoir Dogs,1992,8.3,nm0000233,"Crime,Thriller",1021459,Reservoir Dogs,99,tt0105236,"nm0000233,nm0000812"
Roja,1992,8.1,nm0711745,"Drama,Romance,Thriller",13107,Roja,137,tt0105271,nm0711745
Scent of a Woman,1992,8.0,nm0000976,Drama,299592,Scent of a Woman,156,tt0105323,"nm0037097,nm0325743,nm0531431,nm0728271"
Thevar Magan,1992,8.7,nm0080245,Drama,7387,Thevar Magan,145,tt0105575,nm0352032
Tito and Me,1992,8.0,nm0548648,"Comedy,Drama,Romance",5823,Tito i ja,118,tt0105602,nm0548648
Unforgiven,1992,8.2,nm0000142,"Drama,Western",414369,Unforgiven,130,tt0105695,nm0672459
Farewell My Concubine,1993,8.1,nm0155280,"Drama,Music,Romance",29796,Ba wang bie ji,171,tt0106332,"nm0497762,nm0523760"
The Earth's Most Beloved Son,1993,8.4,nm0547616,Drama,1765,Cel mai iubit dintre pamânteni,138,tt0106534,"nm0547616,nm0695737"
Charachar,1994,8.0,nm0201949,Drama,110,Charachar,97,tt0106546,"nm0201949,nm1433589"
The Cure Show,1993,8.8,"nm0809733,nm0071885,nm0694024",Documentary,165,The Cure Show,90,tt0106634,\N
Ekattorer Jishu,1993,8.2,nm0950361,Drama,144,Ekattorer Jishu,100,tt0106800,"nm0434068,nm0537045,nm0950361"
Groundhog Day,1993,8.1,nm0000601,"Comedy,Drama,Fantasy",635085,Groundhog Day,101,tt0107048,"nm0748035,nm0000601"
High Lonesome: The Story of Bluegrass Music,1992,8.0,nm0509489,"Documentary,Music",135,High Lonesome: The Story of Bluegrass Music,95,tt0107111,nm0509489
In the Name of the Father,1993,8.1,nm0006487,"Biography,Crime,Drama",176779,In the Name of the Father,133,tt0107207,"nm0174840,nm0313623,nm0006487"
Jurassic Park,1993,8.2,nm0000229,"Action,Adventure,Sci-Fi",991606,Jurassic Park,127,tt0107290,"nm0000341,nm0462895"
Kanehsatake: 270 Years of Resistance,1993,8.0,nm0643446,Documentary,397,Kanehsatake: 270 Years of Resistance,119,tt0107305,nm0643446
Latcho Drom,1993,8.1,nm0309697,Music,2048,Latcho Drom,103,tt0107376,nm0309697
"The Wonderful, Horrible Life of Leni Riefenstahl",1993,8.1,nm0618284,"Biography,Documentary,History",2974,Die Macht der Bilder: Leni Riefenstahl,183,tt0107472,nm0618284
Mother's Day,1994,8.0,nm0796361,Comedy,2125,Muttertag,95,tt0107625,"nm0073468,nm0233544,nm0246948,nm0796361"
The Padma Boatman,1993,8.2,nm0315872,Drama,951,Padma Nadir Majhi,126,tt0107767,"nm0051780,nm0315872"
Schindler's List,1993,9.0,nm0000229,"Biography,Drama,History",1357592,Schindler's List,195,tt0108052,"nm0447745,nm0001873"
Silverlake Life: The View from Here,1993,8.1,"nm0430867,nm0295335",Documentary,499,Silverlake Life: The View from Here,99,tt0108138,\N
The Seventh Horse of the Sun,1992,8.0,nm0070867,"Drama,Romance",918,Suraj Ka Satvan Ghoda,130,tt0108256,"nm0080250,nm0952067"
Udzinarta mze,1992,8.5,nm0045024,"Crime,Drama",1565,Udzinarta mze,123,tt0108429,nm0045024
Videogramme einer Revolution,1992,8.1,"nm0267943,nm0880297","Documentary,History,War",588,Videogramme einer Revolution,106,tt0108489,"nm0267943,nm0880297"
Vidheyan,1994,8.3,nm0329715,Drama,1349,Vidheyan,112,tt0108490,"nm0329715,nm0951571"
Hill of No Return,1992,8.2,nm0911042,"Drama,History",320,Wu yan de shan qiu,165,tt0108602,nm0943150
Andaz Apna Apna,1994,8.0,nm0764316,"Action,Comedy,Romance",53769,Andaz Apna Apna,160,tt0109117,"nm0764316,nm0795651"
Az igazi Mao,1995,8.1,nm0797731,"Comedy,Documentary",184,Az igazi Mao,55,tt0109184,nm0843921
"Back to Back, Face to Face",1994,8.1,"nm0399003,nm0946085",Drama,596,"Bei kao bei, lian dui lian",148,tt0109235,"nm1481695,nm0399003,nm0838999"
Chungking Express,1994,8.0,nm0939182,"Comedy,Crime,Drama",84085,Chung Hing sam lam,102,tt0109424,nm0939182
Crumb,1994,8.0,nm0959062,"Biography,Comedy,Documentary",20679,Crumb,119,tt0109508,\N
Death of a Nation: The Timor Conspiracy,1994,8.1,nm0613109,Documentary,199,Death of a Nation: The Timor Conspiracy,60,tt0109580,nm0683400
Forrest Gump,1994,8.8,nm0000709,"Drama,Romance",2082397,Forrest Gump,142,tt0109830,"nm0343165,nm0744839"
Hoop Dreams,1994,8.3,nm0416945,"Documentary,Drama,Sport",26729,Hoop Dreams,170,tt0110057,"nm0416945,nm0555610"
To Live,1994,8.3,nm0955443,"Drama,War",18777,Huo zhe,133,tt0110081,"nm0523760,nm0950500"
The Lion King,1994,8.5,"nm0021249,nm0591450","Adventure,Animation,Drama",1060872,The Lion King,88,tt0110357,"nm0575293,nm0731271,nm0941314,nm0560329,nm0424556,nm0177170,nm0258059,nm0309128,nm0873779,nm0135296,nm0363125,nm0460146,nm0761498,nm0004552,nm0500858,nm0710020,nm0538588,nm0326814,nm0322368,nm0442483,nm0020599,nm0780117,nm0854185,nm0873092,nm0879318,nm0901038,nm0936374,nm0925276,nm0152312"
Law meng goh law fong,1994,8.5,nm1295558,Romance,119,Law meng goh law fong,87,tt0110409,nm1022277
Léon: The Professional,1994,8.5,nm0000108,"Action,Crime,Drama",1164048,Léon,110,tt0110413,nm0000108
"Pitra, Putra Aur Dharamyuddha",1994,8.4,nm0666674,"Documentary,Drama",147,"Pitra, Putra Aur Dharamyuddha",120,tt0110839,nm0666674
Pulp Fiction,1994,8.9,nm0000233,"Crime,Drama",2058510,Pulp Fiction,154,tt0110912,"nm0000233,nm0000812"
The Shawshank Redemption,1994,9.3,nm0001104,Drama,2683241,The Shawshank Redemption,142,tt0111161,"nm0000175,nm0001104"
Satantango,1994,8.3,nm0850601,Drama,11428,Sátántangó,439,tt0111341,"nm0470004,nm0896902,nm0229569,nm0586280,nm0850601"
Dead Can Dance: Toward the Within,1994,8.7,nm0536056,"Documentary,Music",266,Dead Can Dance: Toward the Within,77,tt0111467,\N
Three Colors: Red,1994,8.1,nm0001425,"Drama,Mystery,Romance",104442,Trois couleurs: Rouge,99,tt0111495,"nm0001425,nm0682830,nm0002140,nm0954072,nm0460058,nm0489995"
In the Heat of the Sun,1994,8.1,nm0422638,"Drama,Romance",4934,Yang guang can lan de ri zi,134,tt0111786,"nm0422638,nm0911032"
Anne Frank Remembered,1995,8.1,nm0086282,"Biography,Documentary,War",1217,Anne Frank Remembered,117,tt0112373,"nm0086282,nm0290833"
Before Sunrise,1995,8.1,nm0000500,"Drama,Romance",311074,Before Sunrise,101,tt0112471,"nm0000500,nm0471811"
Bombay,1995,8.1,nm0711745,"Drama,Romance",12950,Bombay,141,tt0112553,"nm0711745,nm1391608"
Braveheart,1995,8.4,nm0000154,"Biography,Drama,History",1040389,Braveheart,178,tt0112573,nm0908824
Casino,1995,8.2,nm0000217,"Crime,Drama",523406,Casino,178,tt0112641,"nm0683380,nm0000217"
Dilwale Dulhania Le Jayenge,1995,8.0,nm0159147,"Drama,Romance",70695,Dilwale Dulhania Le Jayenge,189,tt0112870,"nm0159147,nm0796503"
La haine,1995,8.1,nm0440913,"Crime,Drama",176039,La haine,98,tt0113247,nm0440913
