primaryTitle,tconst,birthYear,deathYear,primaryName,primaryProfession
Amadeus,tt0086879,\N,\N,Alice B. Caldwell,miscellaneous
Tosca's Kiss,tt0086928,\N,\N,Ada Perugia,
Balkan Spy,tt0086935,\N,\N,Bora Dujic,actor
Strangler vs. Strangler,tt0087123,\N,\N,Bora Miljkovic,actor
"Blue Mountains, or Unbelievable Story",tt0087349,\N,\N,George Barabadze,assistant_director
"István, a király",tt0087488,\N,\N,Annamária Neuwirth,miscellaneous
Nausicaä of the Valley of the Wind,tt0087544,\N,\N,Hisako Ayuhara,actress
Love and Doves,tt0087650,\N,\N,A. Sambursky,sound_department
Give the Devil His Due,tt0087731,\N,\N,G. Dymic,actor
Once Upon a Time in America,tt0087843,\N,\N,Adrian Curran,actor
"Paris, Texas",tt0087884,\N,\N,B.C. Smith,transportation_department
Saaransh,tt0088031,\N,\N,Gurtar Gill,actor
The Holy Innocents,tt0088040,\N,\N,José Manuel Sito,actor
Stop Making Sense,tt0088178,\N,\N,Abigail Rosen,miscellaneous
Streetwise,tt0088196,\N,\N,Antoine,
The Terminator,tt0088247,\N,\N,David Reece,art_department
The Times of Harvey Milk,tt0088275,1947,1986,Bill Kraus,
Back to the Future,tt0088763,\N,\N,'Wild' Will MacLean,camera_department
Waiting for the Hearse,tt0089108,\N,\N,Adolfo Calo,camera_department
Ran,tt0089881,\N,\N,Chihako Naito,make_up_department
Shoah,tt0090015,\N,\N,Abraham Bomba,
Voro-Nova,tt0090275,\N,\N,Harry van Es,costume_designer
Wreaths at the Foot of the Mountain,tt0090340,\N,\N,Lei Shi,actor
A Cruel Romance,tt0090368,\N,\N,Anatoliy Vasilyev,camera_department
Aliens,tt0090605,\N,\N,Barry Saunders,visual_effects
The Wall,tt0090982,\N,\N,Ali Berktay,actor
Ethnic Notions,tt0091018,\N,\N,George Frederickson,
Come and See,tt0091251,\N,\N,Aleksandr Solopov,actor
Permission,tt0091256,\N,\N,Ashok Sachdev,miscellaneous
Jean de Florette,tt0091288,\N,\N,Benedetto Bertino,actor
The Beauty of Vice,tt0091398,\N,\N,Cica Pavlovic,actress
Manon of the Spring,tt0091480,\N,\N,Lucien Damiani,actor
Platoon,tt0091763,\N,\N,Basile Achara,actor
Ricochets,tt0091950,\N,\N,Baruch Navo,writer
St. John in Exile,tt0092001,\N,\N,Don Berrigan,writer
Stand by Me,tt0092005,\N,\N,David Sherman,art_department
Castle in the Sky,tt0092067,\N,\N,Atsushi Kaji,music_department
"Goodbye, Children",tt0092593,\N,\N,Benoît Henriet,actor
The Emperor's Naked Army Marches On,tt0092963,\N,\N,Eizaburo Oshima,
Full Metal Jacket,tt0093058,\N,\N,A.R. Carter,art_department
Hachi-ko,tt0093132,\N,\N,Hideaki Wa'ke,actor
Hero: The Official Film of the 1986 FIFA World Cup,tt0093181,\N,\N,Cecilia Ugalde,miscellaneous
The Hero's Journey: The World of Joseph Campbell,tt0093183,1916,2020,Jean Erdman,actress
Wings of Desire,tt0093191,\N,\N,Andreas Valentin,actor
Where Is the Friend's House?,tt0093342,\N,\N,Ait Ansari,actor
Queen Live in Budapest,tt0093427,\N,\N,Brendan Hyland,miscellaneous
A Tale from the Past,tt0093720,\N,\N,Admir Sorra,actor
Repentance,tt0093754,\N,\N,Dato Kemkhadze,actor
The Princess Bride,tt0093779,\N,\N,Al Wilson,camera_department
Sign 'o' the Times,tt0093970,\N,\N,Andrew Watson,camera_department
Depeche Mode: 101,tt0094590,\N,\N,Andre Jackamets,camera_department
Akira,tt0094625,\N,\N,Brad Wurst,actor
Big Time,tt0094743,\N,\N,Anita Zommers,production_manager
Die Hard,tt0095016,\N,\N,Bruce P. Schultz,actor
Grave of the Fireflies,tt0095327,\N,\N,Atsushi Matsumoto,actor
A Short Film About Killing,tt0095468,\N,\N,Peter Falchi,actor
The Moromete Family,tt0095657,\N,\N,Lucian Albanezu,actor
Cinema Paradiso,tt0095765,1923,1991,Baldo Maestri,music_department
Rain Man,tt0095953,\N,\N,Andrew Dougherty,actor
The Thin Blue Line,tt0096257,\N,\N,Amanda Caprio,actress
My Neighbor Totoro,tt0096283,\N,\N,Aiko Takahashi,animation_department
Landscape in the Mist,tt0096288,\N,\N,Michalis Zeke,actor
Time of Violence,tt0096403,\N,\N,Andrey Hristov,actor
"Bashu, the Little Stranger",tt0096894,\N,\N,Adnan Afravian,actor
Champions Forever,tt0097042,\N,\N,Tom Bellagio,producer
Common Threads: Stories from the Quilt,tt0097099,\N,\N,Anne C. Dowie,camera_department
Dead Poets Society,tt0097165,\N,\N,Ashton W. Richards,actor
Time of the Gypsies,tt0097223,\N,\N,Advija Redzepi,actor
Entertaining the Troops,tt0097282,\N,\N,Bill Parolini,camera_department
For All Mankind,tt0097372,\N,\N,Betsy Broyles Breier,producer
Indiana Jones and the Last Crusade,tt0097576,\N,\N,Bill Werner,location_management
Dull Ice Flower,tt0097791,\N,\N,Han Yu,actor
Mathilukal,tt0097851,\N,\N,Bhaskaran Nair,actor
Near Death,tt0097959,\N,\N,Nancy Simonian,miscellaneous
Red Dawn,tt0098214,\N,\N,Ademar Arau,miscellaneous
The Architecture of Doom,tt0098559,\N,\N,Stig Jonassen,miscellaneous
Don't Let Them Shoot the Kite,tt0098573,\N,\N,Cem Gürbüzer,editorial_department
Anjali,tt0099043,\N,\N,Gayathri,actress
Dances with Wolves,tt0099348,1946,\N,Alune DuBray,miscellaneous
Goodfellas,tt0099685,\N,\N,Adam Wandt,actor
Hamoun,tt0099729,\N,\N,Khachik Babaian,music_department
Close-Up,tt0100234,\N,\N,Abolfazl Ahankhah,
Paris Is Burning,tt0100332,\N,1991,André Christian,
Step Across the Border,tt0100692,\N,\N,Eric Haapala,music_department
The Stranger,tt0101279,\N,\N,Bikram Bhattacharya,actor
Beauty and the Beast,tt0101414,\N,\N,Cynthia Richards-Hewes,actress
Behind the Mask,tt0101423,\N,\N,Brandan Hughes,
Thalapathi,tt0101649,\N,\N,Mitali Banerjee Bhawmik,"music_department,soundtrack"
A Brighter Summer Day,tt0101985,\N,\N,Chang-Ta Tsai,actor
Hearts of Darkness: A Filmmaker's Apocalypse,tt0102015,\N,\N,David March,editorial_department
JFK,tt0102138,\N,\N,Allison Pratt Davis,actress
Prahaar: The Final Attack,tt0102701,\N,\N,Malhar Patekar,actor
The Silence of the Lambs,tt0102926,\N,\N,Becky Gibbs,miscellaneous
Terminator 2: Judgment Day,tt0103064,\N,\N,Angus Poon,visual_effects
Aladdin,tt0103639,\N,\N,Chip Washabaugh,production_manager
Baraka,tt0103767,\N,\N,Bob Green,writer
Cilveka berns,tt0103971,\N,\N,Agnese Latovska,actress
Jo Jeeta Wohi Sikandar,tt0104561,\N,\N,Dalal,miscellaneous
Manufacturing Consent: Noam Chomsky and the Media,tt0104810,\N,\N,Adam Kufeld,miscellaneous
We Are Not Angels,tt0104860,\N,\N,Violeta Ljubic,actress
Reservoir Dogs,tt0105236,\N,\N,Robert John Speer,"camera_department,transportation_department"
Roja,tt0105271,\N,\N,Bipin H. Shah,producer
Scent of a Woman,tt0105323,\N,\N,Alyson Feldman,actress
Unforgiven,tt0105695,\N,\N,Garner Butler,actor
Farewell My Concubine,tt0106332,\N,\N,Huo Yan,art_department
The Earth's Most Beloved Son,tt0106534,\N,\N,Dan Niculescu,actor
Charachar,tt0106546,\N,\N,Gita Gope,producer
The Cure Show,tt0106634,\N,\N,Bill Pierson,special_effects
Ekattorer Jishu,tt0106800,\N,\N,David Pronar,producer
Groundhog Day,tt0107048,\N,\N,Amy Murdoch,actress
High Lonesome: The Story of Bluegrass Music,tt0107111,\N,\N,Andrew Serwer,producer
In the Name of the Father,tt0107207,\N,\N,Bernard Phelan,art_department
Jurassic Park,tt0107290,\N,\N,Adrian Escober,actor
Kanehsatake: 270 Years of Resistance,tt0107305,\N,\N,Bill Traverse,
"The Wonderful, Horrible Life of Leni Riefenstahl",tt0107472,\N,\N,Alfred Schuhmann,sound_department
Mother's Day,tt0107625,\N,\N,André Scher,camera_department
The Padma Boatman,tt0107767,\N,\N,Diba Nargis,actress
Schindler's List,tt0108052,\N,\N,Alison Mace,miscellaneous
The Seventh Horse of the Sun,tt0108256,\N,\N,Asma,actress
Udzinarta mze,tt0108429,1969,\N,David Kazishvili,actor
Videogramme einer Revolution,tt0108489,\N,\N,Beate Ochsner,editorial_department
Vidheyan,tt0108490,\N,\N,Krishnanunnu,composer
Andaz Apna Apna,tt0109117,\N,\N,Anupam Chatterjee,music_department
Az igazi Mao,tt0109184,1941,\N,Anikó Józsa,miscellaneous
"Back to Back, Face to Face",tt0109235,\N,\N,Gilly Hutchinson,miscellaneous
Chungking Express,tt0109424,\N,\N,Liang Zhen,actress
Crumb,tt0109508,1920,1997,Beatrice Crumb,
Death of a Nation: The Timor Conspiracy,tt0109580,\N,\N,Abel Guterres,
Forrest Gump,tt0109830,\N,\N,Alleene C. Keith,costume_department
Hoop Dreams,tt0110057,\N,\N,Ada Kolmodin,camera_department
To Live,tt0110081,\N,\N,Ali Li,camera_department
The Lion King,tt0110357,\N,\N,Abner A. Mariri,soundtrack
Law meng goh law fong,tt0110409,\N,\N,Man Lee,script_department
Léon: The Professional,tt0110413,\N,\N,Abdenabi Krouchi,art_department
Pulp Fiction,tt0110912,1986,\N,Chandler Lindauer,actor
The Shawshank Redemption,tt0111161,\N,\N,Aaron Camm Bendigo News,miscellaneous
Satantango,tt0111341,\N,\N,Andor Simai,actor
Dead Can Dance: Toward the Within,tt0111467,\N,\N,Gilles Charbonneau,sound_department
Three Colors: Red,tt0111495,\N,\N,Brigitte Matteuzzi,miscellaneous
In the Heat of the Sun,tt0111786,\N,\N,Hua Zhang,actor
Anne Frank Remembered,tt0112373,\N,\N,Abraham Holländer,
Before Sunrise,tt0112471,\N,\N,Alexandra Seibel,actress
Bombay,tt0112553,\N,\N,A.S. Chinnappa,camera_department
Braveheart,tt0112573,\N,\N,Anne Farnsworth,miscellaneous
Casino,tt0112641,\N,\N,Ali Pirouzkar,actor
Dilwale Dulhania Le Jayenge,tt0112870,\N,\N,Ajay Trivedi,"music_department,soundtrack"
La haine,tt0113247,\N,\N,Abdel Ahmed Ghili,actor
Heat,tt0113277,\N,\N,Clint Hegeman,sound_department
Man with a Plan,tt0113758,\N,\N,Barbara Kohn,actress
Se7en,tt0114369,\N,\N,Alex Algozzino,transportation_department
Toy Story,tt0114709,\N,\N,April,miscellaneous
12 Monkeys,tt0114746,\N,\N,Amanda Stern,casting_department
Underground,tt0114787,\N,\N,Ab Barrandov,visual_effects
The Usual Suspects,tt0114814,\N,\N,Andrea Celandine Rice,miscellaneous
Asphalt Tango,tt0115577,\N,\N,Abood Jafar,actor
Blue Eyed,tt0115716,\N,\N,Arlon Gilk,production_manager
Broken Silence,tt0115762,\N,\N,A.K. Gupta,actress
The Bandit,tt0116231,\N,\N,Ahmet Korcagiz,transportation_department
Fargo,tt0116282,1954,2016,Cliff Rakerd,actor
Freebird... The Movie,tt0116360,\N,\N,Adam Stern,miscellaneous
Indian,tt0116630,\N,\N,Aasan Rajendran,stunts
"Pretty Village, Pretty Flame",tt0116860,\N,\N,Drakula,"actor,composer"
Outsider,tt0117273,\N,\N,Neso Boskovic,actor
Paradise Lost: The Child Murders at Robin Hood Hills,tt0117293,\N,\N,Alex Sinofsky,music_department
The Perfect Circle,tt0117555,\N,\N,Alen Zuhric,actor
Secrets & Lies,tt0117589,\N,\N,Alex Squires,actor
Sling Blade,tt0117666,\N,\N,Ali Jennings,"soundtrack,music_department"
"Comrades, Almost a Love Story",tt0117905,\N,\N,Len Berdick,actor
Trainspotting,tt0117951,\N,\N,Allan Bell,miscellaneous
When We Were Kings,tt0118147,\N,\N,Bill Durborow,miscellaneous
In the Mood for Love,tt0118694,\N,\N,Hsien Yu,actor
The Big Lebowski,tt0118715,\N,\N,Amy Warren,miscellaneous
Life Is Beautiful,tt0118799,\N,\N,Abel Fasano,transportation_department
"Black Cat, White Cat",tt0118843,\N,\N,Adnan Bekir,actor
Children of Heaven,tt0118849,\N,\N,Abbas-Ali Roomandi,actor
Follow the Bitch,tt0119139,\N,\N,Adam Cecosta,sound_department
Frost,tt0119161,\N,\N,Charles Mori,composer
Good Will Hunting,tt0119217,\N,\N,Ann Matacunas,actress
L.A. Confidential,tt0119488,\N,\N,Bella Noubarian,costume_department
Princess Mononoke,tt0119698,\N,\N,Akihiko Tonosaki,actress
The Truman Show,tt0120382,\N,\N,Adrienne Vergos,miscellaneous
American History X,tt0120586,\N,\N,Alexis Rose Coen,actress
The Green Mile,tt0120689,1989,\N,Bailey Drucker,actress
The Legend of 1900,tt0120731,\N,\N,Agostino Di Giorgio,actor
"Lock, Stock and Two Smoking Barrels",tt0120735,\N,\N,Albert James,miscellaneous
The Lord of the Rings: The Fellowship of the Ring,tt0120737,1969,\N,Abigail Turner,"miscellaneous,actress,stunts"
Saving Private Ryan,tt0120815,\N,\N,Aileen Curtin,miscellaneous
Treasure Island Part II: Captain Flint's Treasure,tt0122227,\N,\N,A. Balagin,music_department
The Meeting Point,tt0122234,\N,\N,Marijan Zizanovic,actor
The Counterfeit Coin,tt0122565,\N,\N,Dimitrios Athinaios,
"Jack of All Trades, Master of None",tt0122670,\N,\N,St. Alexopoulos,actor
Woe to the Young,tt0122883,\N,\N,A. Georgopoulos,art_department
Help Its Vengos Visible Agent '000',tt0123313,\N,\N,Spiros Magiros,set_decorator
The Miscellaneous Brigade on the Watch,tt0123390,\N,\N,George Sandu,"sound_department,miscellaneous"
Brigada Diverse intrã în actiune,tt0123391,\N,\N,Craita Radulescu,actress
B.D. in the Mountains and on the Seaside,tt0123392,\N,\N,Alex Trifan,miscellaneous
Le confort et l'indifférence,tt0123730,\N,\N,Irène Fournaris,
Humphrey Bogart: Behind the Legend,tt0124749,\N,\N,Michael R.S. Teilmann,producer
Miracle,tt0125144,\N,\N,Erwin Jacinto,actor
Operation 'The Monster',tt0125968,\N,\N,Cristina Hofman,actress
Across the Lake,tt0126622,\N,\N,Anamarija Pop Duceva,actress
Innocence,tt0128332,\N,\N,Ali Sanli,camera_department
Landscape with a Woman,tt0128856,\N,\N,Jasna Spaic,composer
The Iron Giant,tt0129167,\N,\N,Aaron L. Thompson,miscellaneous
Gypsy Magic,tt0130752,\N,\N,Abad Fazli,actor
The Matrix,tt0133093,\N,\N,'Longy' Nguyin,miscellaneous
PNYC: Portishead - Roseland New York,tt0133157,\N,\N,Caroline Killoury,producer
Joe Finds Grace,tt0137204,\N,\N,Betty Dunford,costume_department
Fight Club,tt0137523,\N,\N,Dierdre Downing-Jackson,actress
Piata Universitatii - Romania,tt0138020,\N,\N,Alexandru Craciun,
Rats in the Ranks,tt0138052,\N,\N,Larry Hand,
Paging Emma,tt0138689,\N,\N,Adam Camacho,miscellaneous
Majhli Didi,tt0139447,\N,\N,Gopal Mukherjee,producer
Baasha,tt0139876,\N,\N,Ganesh,editor
Case of the Naves Brothers,tt0139927,\N,\N,Hiltrud Holz,actress
Mahanadi,tt0140348,\N,\N,Mahanadhi Shobana,actress
Pathinaru Vayathinile,tt0140448,\N,\N,S.A. Rajkannu,producer
Sathi Leelavathi,tt0140534,\N,\N,Pon Moorthy,editor
Central Station,tt0140888,\N,\N,Almir de Azevédo,art_department
Titanic Waltz,tt0141904,\N,\N,Atena Seciu,actress
The Last Spring,tt0141998,\N,\N,Kevin John Reilly,actor
One Hundred Children Waiting for a Train,tt0144829,\N,\N,Enrique Morales,camera_department
Little Dieter Needs to Fly,tt0145046,\N,\N,Eugene Deatrick,
The Schedule,tt0145456,\N,\N,Bryan Manzo,composer
Flashback,tt0145777,\N,\N,Gabriele Fornacioni,actor
Dosti,tt0146645,\N,\N,Ban Bhatt,writer
Lucky People Center International,tt0148428,\N,\N,Djossou Dotche,
Chhadmabeshi,tt0150101,\N,\N,Baladeo Roy,camera_department
Dance Craze,tt0150265,\N,\N,Bob Sargeant,miscellaneous
Impossible Love,tt0151040,\N,\N,Adrian Paraschiv,miscellaneous
The Lumière Brothers' First Films,tt0151416,\N,\N,M. Winckler,
Mausam,tt0151511,\N,\N,Deepak Suchde,miscellaneous
Pathey Holo Deri,tt0151917,\N,\N,Anil Bhattacharya,actor
The Pigeon Egg Strategy,tt0151975,\N,\N,Arthur Wong,producer
Two Handfuls,tt0153369,\N,\N,Bill Bix,actor
Devil's Bride,tt0153509,\N,\N,B. Mikalauskaté,production_manager
The Celebration,tt0154420,\N,\N,Anette Jakobsen,actress
Samanishvilis dedinatsvali,tt0154855,\N,\N,A. Nikolasihvili,actor
Mofturi 1900,tt0154890,\N,\N,Alexandrina Munteanu,actress
Thappu Thalangal,tt0155257,\N,\N,B.A. Ramanujacharya,producer
Thillu Mullu,tt0155265,\N,\N,Master Chandrasekar,actor
Varumayin Niram Sigappu,tt0155329,\N,\N,Glamour Krishnamoorthy,miscellaneous
Amaram,tt0155487,\N,\N,Manohar,sound_department
Antarnaad,tt0155499,\N,\N,Prashant Angre,actor
Perfect Blue,tt0156887,\N,\N,Chol-gyu Kim,animation_department
"Queen: Magic Years, Volume Two - A Visual Anthology",tt0157956,\N,\N,Carol Smith,
Queen: Champions of the World,tt0158550,\N,\N,Alex Galambos,miscellaneous
The Concert for Bangladesh,tt0158560,\N,\N,Allan Beutler,
"Queen: Magic Years, Volume One - A Visual Anthology",tt0158745,\N,\N,Barbara Baker,
"This Is How We Were Before, How Are You Doing Now?",tt0159456,\N,\N,Teresita Non,actress
Jehovah's Witnesses Stand Firm Against Nazi Assault,tt0163020,\N,\N,Anni Gustavsson,
The Cure in Orange,tt0163593,\N,\N,Angus MacPhail,camera_department
"Learn How to Read and Write, Son",tt0164094,\N,\N,Evi Prassa,actress
Demons,tt0165473,\N,\N,Bunichi Nishimatsu,composer
The Wounds,tt0165546,1980,2000,Dusan Pekic,actor
Asta-seara dansam in familie,tt0165629,\N,\N,Avy Stefanescu,actress
Riesutu duona,tt0165904,\N,\N,B. Zilinskas,miscellaneous
Date Wine,tt0166486,\N,\N,Ahmed Al Sayed,actress
The Straight Story,tt0166896,\N,\N,'D.C.' Ressetar,transportation_department
The Lord of the Rings: The Return of the King,tt0167260,\N,\N,Aaron Symes,visual_effects
The Lord of the Rings: The Two Towers,tt0167261,1976,\N,Alexander Lindsay,
Cosy Dens,tt0167331,\N,\N,Hana Marconová,actress
Time to Love,tt0167400,\N,\N,Abdullah Demiryan,actor
The Sixth Sense,tt0167404,\N,\N,Alan Silverstein,camera_department
Cesta do hlubin studákovy duse,tt0168574,\N,\N,Karel Hosek,actor
Lagaan: Once Upon a Time in India,tt0169102,\N,\N,Adrian Grew,miscellaneous
American Beauty,tt0169547,\N,\N,Daniel J. Walsh,miscellaneous
Byalata staya,tt0169618,\N,\N,Kostadin Radev,costume_designer
Father of a Soldier,tt0169828,\N,\N,Evgeniy Vever,actor
Neon Genesis Evangelion: The End of Evangelion,tt0169858,\N,\N,Akiko Sasaki,animation_department
Lulekuqet mbi mure,tt0170178,\N,\N,Alfred Kote,actor
The Saplings,tt0170301,\N,\N,A. Gaurgashvili,actor
Look at These Young People!,tt0170318,\N,\N,E. Aliokina,
Yesterday,tt0170783,\N,\N,Georgi Petrov,camera_department
Nëntori i dytë,tt0171564,\N,\N,Gazmend Shpuza,miscellaneous
Pictures of the Old World,tt0171587,1913,2004,Martin Martincek,"cinematographer,camera_department"
Gladiator,tt0172495,\N,\N,Abderarrahim El Hajli,art_department
"My Dad, the Socialist Kulak",tt0172811,\N,\N,Matjaz Partlic,actor
Adaptatziya,tt0173615,\N,\N,Donvena Zlatanova,actress
My Voyage to Italy,tt0173772,\N,\N,Anita Dunn,miscellaneous
Ölsäm... bagisla,tt0173956,\N,\N,Agasaf Sadiqbayov,actor
In the Name of the People,tt0174299,\N,\N,Ana Selski,actress
Arachveulebrivi gamopena,tt0174470,\N,\N,Aleksandre Kelbalkiani,actor
Propala hramota,tt0175075,\N,\N,B. Savchenko,assistant_director
Sherekilebi,tt0175157,\N,\N,Saqartvelos Sakhelmtsipo Simponiuri Orkestri,music_department
Magnolia,tt0175880,\N,\N,André Martin,camera_department
Baraka,tt0176507,\N,\N,Victoria Ebin,director
The Tragedy of Man,tt0176694,\N,\N,Balázs Martin,animation_department
Kamiondzije opet voze,tt0179918,\N,\N,Dragoljub Milojkovic,sound_department
Cat City,tt0179955,\N,\N,Edit Geri,actress
Requiem for a Dream,tt0180093,\N,\N,Abraham Abraham,actor
Roj,tt0180104,\N,\N,Djordje Krstic,art_department
Yparhei Kai Filotimo,tt0181600,\N,\N,Vasso Gouvitsa,make_up_department
Republikata vo plamen,tt0182387,\N,\N,Zivko Jovanovski,actor
Mr. Muhsin,tt0184756,\N,\N,Cem Gönenc,actor
Kshana Kshanam,tt0187115,\N,\N,Lakshman Chowdary Y.,producer
Jagadeka Veerudu Athiloka Sundari,tt0187178,\N,\N,Srinivas Chakravarthy,writer
Barking at the Stars,tt0187231,\N,\N,Dusan Corovic,actor
Fourteen Days in May,tt0188626,\N,\N,Betty Johnson,
Toplo,tt0189154,\N,\N,Desislava Mincheva,actress
The Color of Paradise,tt0191043,\N,\N,Ahmed Aminian,actor
Simhasan,tt0191456,\N,\N,Digamber Pitambare,actor
The Knife,tt0192377,\N,\N,Milan Vitic,art_department
Samna,tt0192566,\N,\N,Aarti Prabhu,"writer,soundtrack"
The Man Who Sleeps,tt0192718,\N,\N,Eugénie Kuffler,composer
Satya,tt0195231,\N,\N,A.R. Nazeer,miscellaneous
"São Paulo, Sociedade Anônima",tt0195324,\N,\N,Armando Paschoal,actor
A Neighborhood Named 'The Dream',tt0196995,\N,\N,Alekos Petsos,actor
World Gone Mad,tt0197042,\N,\N,Hristos Vamvakas,actor
"Monsters, Inc.",tt0198781,\N,\N,Camilla Edwards,miscellaneous
Word Is Out,tt0199143,\N,\N,Andrew Brown,"director,cinematographer,editor"
The Body,tt0199369,\N,\N,Arthur Armitage,
Sarfarosh,tt0200087,\N,\N,Ajit Chakke,camera_department
On Board,tt0200654,\N,\N,Ali Ihsan Cetin,actor
Vanaprastham,tt0202055,\N,\N,Appukutty Poduval,
Winter Soldier,tt0204058,\N,\N,Allan Akers,
Northern Crusades,tt0204344,\N,\N,A. Suchoreckio,special_effects
A Nameless Band,tt0205306,\N,\N,Katya Koleva,actress
Vsichko e lyubov,tt0205506,\N,\N,Mariya Sekulova,assistant_director
Margarit i Margarita,tt0206118,\N,\N,Vladimir Burski,actor
Tjoet Nja' Dhien,tt0206348,\N,\N,Huib van den Hoek,actor
In the Midst of Life,tt0206569,\N,\N,Fred Lissou,actor
All for Love,tt0206669,\N,\N,Andrey Mitev,actor
Protest,tt0207027,1947,1973,Gordana Barundic,actress
Snatch,tt0208092,\N,\N,Adam O'Brien,miscellaneous
Memento,tt0209144,1975,\N,Amanda Horton,"publicist,miscellaneous"
Sky Hook,tt0209180,\N,\N,Ognjen Mirkovic,actor
All Power to the People! (the Black Panther Party and Beyond),tt0210482,\N,\N,Ali Bey Hassan,
Amélie,tt0211915,\N,\N,Amaury Babault,actor
Chithram,tt0214585,\N,\N,Ashok,costume_designer
El grito,tt0214735,\N,\N,Federico Villegas,cinematographer
Irakal,tt0214799,\N,\N,Radha,actress
Manichithrathazhu,tt0214915,\N,\N,Babu Shahir,production_manager
One Piece!,tt0215010,\N,\N,Masumi Kuichi,actress
Anand Math,tt0215515,\N,\N,Krishna Prabhakara,"writer,assistant_director"
Angoor,tt0215517,\N,\N,Ishwar Prasad Bansal,production_manager
Koshish,tt0215911,\N,\N,Gurunath Baburao,make_up_department
Bujang lapok,tt0216602,\N,\N,B.H. Chua,writer
Smooth Operator,tt0220762,\N,\N,Amber Looper,actress
Vaastav: The Reality,tt0220832,\N,\N,Anil Agrahari,"actor,production_manager"
Taralezhite se razhdat bez bodli,tt0222426,\N,\N,Ivaylo Simeonov,actor
A Northern Story of Valor,tt0230597,\N,\N,A.K. Ramesh,production_designer
Maanasa Sarovara,tt0232017,\N,\N,Pandithachar,actor
Nagara Haavu,tt0232152,\N,\N,P.J. Lakshman,sound_department
Ranganayaki,tt0232515,\N,\N,B. Thimmanna,producer
Saat Pake Bandha,tt0232563,\N,\N,Amit Dey,actor
Sharapanjara,tt0232625,\N,\N,Mysore Devadas,music_department
Victory at Sea,tt0232902,\N,\N,A.W. Clarke,miscellaneous
Babruvahana,tt0233270,\N,\N,Srikanth,cinematographer
Bettada Hoovu,tt0233321,\N,\N,Marcia Jamal,actor
Pod igoto,tt0234484,\N,\N,Boris Stefanov,actor
Satya Harishchandra,tt0234658,\N,\N,Raghavanka,writer
America America,tt0235179,\N,\N,Jayarama Shetty,actor
Mullum Malarum,tt0235609,\N,\N,Venu Chettiar,producer
Vampire Lesbian Kickboxers,tt0235853,\N,\N,Frank DelGais,producer
Veedu,tt0235858,\N,\N,Akila Mahendra,writer
Taken for a Ride,tt0236785,\N,\N,Charlotte Bullock,
A Clod of Clay,tt0237059,\N,\N,Cristian Hadjiculea,actor
Dasharatham,tt0237138,\N,\N,Ajay Mathias,actor
Palatak,tt0237537,\N,\N,Anuradha Gupta,actress
Sriman Prithviraj,tt0237772,\N,\N,Anil Roy,actor
Thaniyavartanam,tt0237820,\N,\N,Baby Kottarakara,actress
Kuche v chekmedzhe,tt0238363,\N,\N,Ani Petrowa,actress
Sardar,tt0240879,\N,\N,Elisa D'Souza,actress
Hera Pheri,tt0242519,\N,\N,Harish Raut,miscellaneous
Dhanyee Meye,tt0243855,\N,\N,Hara Pramanik,set_decorator
Yi Yi: A One and a Two...,tt0244316,\N,\N,An-yi Wen,actress
Satyakam,tt0244776,\N,\N,M.M. Kapadia,miscellaneous
Accident,tt0244949,\N,\N,Shankar Deodhar,cinematographer
Minchina Oata,tt0245284,\N,\N,B.R. Shivaram,actor
Nodi Swamy Navirodu Hige,tt0245322,\N,\N,Manohar Katadare,writer
Ondu Muthina Kathe,tt0245333,\N,\N,A. Ramadas,producer
Spirited Away,tt0245429,\N,\N,Akiko Tomihira,actress
Amores Perros,tt0245712,\N,\N,Alejandro Galván,transportation_department
Devils on the Doorstep,tt0245929,\N,\N,Abram Sauer,actor
Donnie Darko,tt0246578,\N,\N,Andrew Saris,transportation_department
Mr Jinnah: The Making of Pakistan,tt0246792,\N,\N,R. Nandkumar,sound_department
Trimata ot zapasa,tt0246994,\N,\N,Ani Gospodinova,assistant_director
The Hedgehogs' War,tt0247025,\N,\N,Moris Assa,actor
Bhakta Prahlada,tt0247203,\N,\N,Rajendra Nath,actor
Nazi Concentration and Prison Camps,tt0247568,\N,\N,Adolf Wahlmann,
Shiva,tt0248428,\N,\N,Azam,writer
Swarnakamalam,tt0248500,\N,\N,Sharon Loven,
Innale,tt0248909,\N,\N,Ashraf,producer
Moonnam Pakkam,tt0249027,\N,\N,Ajayan,actor
Namukku Parkkan Munthiri Thoppukal,tt0249047,\N,\N,Radhakrishnan,assistant_director
Werckmeister Harmonies,tt0249241,\N,\N,Ferenc Gazdag,actor
Aha Naa Pellanta,tt0249336,\N,\N,M.R.S. Sastry,music_department
Annamayya,tt0249361,\N,\N,Purnachandhar,music_department
Hai Hai Nayaka,tt0249561,\N,\N,Anjan Kumar,miscellaneous
Mayabazar,tt0249795,\N,\N,Vrishabendraiah,camera_department
Saptapadhi,tt0249936,\N,\N,Sabitha Bhamidipati,actress
Sirivennela,tt0249964,\N,\N,Bhaskara Reddy N.,producer
Sruthilayalu,tt0249985,\N,\N,Subba Rao G.V.,cinematographer
Ek Hota Vidushak,tt0251067,\N,\N,Aseem Deshpande,actor
Glory Days,tt0251097,\N,\N,Alan Bowers,actor
April 1 Vidudala,tt0251588,\N,\N,Kollapally Eshwarrao,writer
Padamati Sandhya Ragam,tt0251919,\N,\N,Gummaluri Sastri,"actor,producer"
