primaryTitle,tconst,birthYear,deathYear,primaryName,primaryProfession
Diabolique,tt0046911,\N,\N,Aminda Montserrat,actress
Dial M for Murder,tt0046912,\N,\N,George Alderson,actor
School for Tramps,tt0046961,\N,\N,Trío Aguileño,"actor,music_department"
Twenty-Four Eyes,tt0047281,\N,\N,Akiko Koike,actress
On the Waterfront,tt0047296,\N,\N,Eddie Barr,art_department
Sansho the Bailiff,tt0047445,\N,\N,Akiyoshi Kikuno,actor
Seven Samurai,tt0047478,\N,\N,Chindanji Miyagawa,actor
La strada,tt0047528,\N,\N,A. Piatti,camera_department
Rififi,tt0048021,\N,\N,Alice Garan,actress
The Night of the Hunter,tt0048424,1948,\N,Sally Jane Bruce,"actress,soundtrack"
Ordet,tt0048452,\N,\N,Ann Elisabeth Groth,actress
Pather Panchali,tt0048473,\N,\N,Ashish Barman,assistant_director
The Unknown Soldier,tt0048752,\N,\N,Elli Tuomisto,"music_department,soundtrack"
Aparajito,tt0048956,\N,\N,Ajay Mitra,actor
The Burmese Harp,tt0049012,\N,\N,Haruhi Yokoyama,miscellaneous
Stay Alert,tt0049378,\N,\N,Inder Maini,actor
The Killing,tt0049406,\N,\N,Christopher Ebsen,art_department
A Man Escaped,tt0049902,1916,1999,André Devigny,writer
12 Angry Men,tt0050083,\N,\N,John Savoca,actor
The Bridge on the River Kwai,tt0050212,\N,\N,Javanart Punynchoti,actress
Do Ankhen Barah Haath,tt0050322,\N,\N,G. Ingawale,actor
Doua lozuri,tt0050332,\N,\N,Carmen Manolescu,actor
A Face in the Crowd,tt0050371,1920,1998,Big Jeff Bess,"actor,soundtrack"
Throne of Blood,tt0050613,\N,\N,Chozo Obata,editorial_department
The Cranes Are Flying,tt0050634,\N,\N,Kevin Adickes,sound_department
Nights of Cabiria,tt0050783,\N,\N,Christian Tassou,actor
Paths of Glory,tt0050825,\N,\N,Baron von Waldenfels,miscellaneous
The Seventh Seal,tt0050976,\N,\N,Caya Wickström,actress
Wild Strawberries,tt0050986,\N,\N,Eva Norée,actress
Sweet Smell of Success,tt0051036,\N,\N,Carson Smith,actor
Witness for the Prosecution,tt0051201,\N,\N,Jack Cooper,miscellaneous
Bari Theke Paliye,tt0051399,\N,\N,Krishna Jaya,actor
D-ale carnavalului,tt0051509,\N,\N,Aida Muga-Ionescu,actress
H-8...,tt0051693,\N,\N,Danijel Ivin,production_manager
The Hidden Fortress,tt0051808,\N,\N,Kôichi Noguchi,miscellaneous
Life Is a Circus,tt0051863,\N,\N,Andrea Loren,actress
We Only Live Once,tt0051927,\N,\N,Eberhard Wienhenrach,actor
Touch of Evil,tt0052311,\N,\N,Adam Gottbetter,costume_department
Vertigo,tt0052357,\N,\N,A. Vincent Gerty,miscellaneous
Anatomy of a Murder,tt0052561,\N,\N,Chuck Ramsay,actor
The World of Apu,tt0052572,\N,\N,Alok Chakravarty,actor
Ben-Hur,tt0052618,\N,\N,Aldo Mozele,actor
The Bridge,tt0052654,\N,\N,Emil Huneck,actor
The Great War,tt0052861,\N,\N,Giuseppe Serrandi,cinematographer
Jazz on a Summer's Day,tt0052942,\N,\N,Bill Grossman,editorial_department
The Human Condition I: No Greater Love,tt0053114,\N,\N,Mutsuko Kuwahara,actress
The Human Condition II: Road to Eternity,tt0053115,\N,\N,Jurô Hoshino,actor
Fires on the Plain,tt0053121,\N,\N,Antonio G. Casimiro,actor
North by Northwest,tt0053125,1890,1969,Bert Mott,sound_department
The 400 Blows,tt0053198,\N,\N,Bernard Abbou,actor
Rio Bravo,tt0053221,\N,\N,B.H. McCampbell,writer
Some Like It Hot,tt0053291,\N,\N,Mary Foley,actress
The Destiny of a Man,tt0053317,\N,\N,L. Kadochkin,actor
Telegrame,tt0053339,\N,\N,Isabela Podbereschi,actress
At Five in the Afternoon,tt0053563,\N,\N,Luis Navarro Isleño,actor
Late Autumn,tt0053579,\N,\N,Ayako Senno,actress
The Apartment,tt0053604,\N,\N,Fortune Cookie,actor
Badaranii,tt0053624,\N,\N,Angela Ochisor,make_up_department
La dolce vita,tt0053779,\N,\N,Adele De Rossi,actress
Inherit the Wind,tt0053946,\N,\N,Harold J. Samelson,miscellaneous
Macario,tt0054042,\N,\N,Pepé y sus Marionetas,actor
Mughal-E-Azam,tt0054098,\N,\N,Adam Mistry,art_department
La Notte,tt0054130,\N,\N,Eraldo Volonté,"actor,music_department"
When a Woman Ascends the Stairs,tt0054144,\N,\N,Fuyuki Nakagami,actor
Psycho,tt0054215,\N,\N,Alan Davey,camera_department
Rocco and His Brothers,tt0054248,\N,\N,Becker Masoero,actress
La sombra del Caudillo,tt0054321,\N,\N,Alberto Vasquez,sound_department
Le Trou,tt0054407,\N,\N,Durieu,actor
The Bad Sleep Well,tt0054460,\N,\N,Shoji Kurihara,costume_designer
"My Son, the Hero",tt0054969,\N,\N,Alfredo Morán,actor
The Hustler,tt0054997,\N,\N,Gloria Curtis,actress
Judgment at Nuremberg,tt0055031,\N,\N,Hubert Karl,miscellaneous
Kabuliwala,tt0055039,\N,\N,Leela Agha,actress
Happiness of Us Alone,tt0055217,\N,\N,Hideo Ôta,actor
The Human Condition III: A Soldier's Prayer,tt0055233,\N,\N,Fumiko Kondô,actress
A Raisin in the Sun,tt0055353,\N,\N,Louis Terrel,actor
Saptapadi,tt0055411,\N,\N,B.K. Sanyal,camera_department
Viridiana,tt0055601,\N,\N,Alicia Jorge Barriga,actress
A Difficult Life,tt0055602,\N,\N,Alfonsina Cetti,actress
Yojimbo,tt0055630,\N,\N,Fumio Kogushi,actor
Za dvoma zaytsiamy,tt0055635,\N,\N,N. Lapshina,actress
Divorce Italian Style,tt0055913,\N,\N,Francesco Nicastro,actor
The Naked Island,tt0056049,\N,\N,Junichi Usuda,camera_department
Harakiri,tt0056058,\N,\N,Chôkan Kawamura,costume_department
Ivan's Childhood,tt0056111,1954,\N,Vera Miturich,actress
Lawrence of Arabia,tt0056172,\N,\N,Bert Holliday,"actor,miscellaneous"
