writers	primaryName	primaryProfession
nm5954636	Sergey A.	writer,producer,cinematographer
nm6157331	Rui Constantino	director,writer,cinematographer
nm8120704	Dipendra K. Khanal	director,writer,cinematographer
nm2572228	Jeethu Joseph	writer,director,producer
nm5954636	Sergey A.	writer,producer,cinematographer
nm11603841	Uma Shankar	writer
nm1410462	Gabriel Cowan	producer,writer,director
nm0156828	Timothy A. Chey	producer,director,writer
nm0049460	Djordje Balasevic	actor,composer,writer
nm1075855	Anar Rzayev	writer,director
nm7556071	Saga Reddy Thumma	director,writer
nm3101705	Joe Shaughnessy	director,writer,producer
nm3044483	Satya Murthy G.	writer,director
nm1077928	Ismail Shikhly	writer
nm3109770	Neeraj Pandey	writer,director,producer
nm10333383	Aaron Dembski-Bowden	writer
nm1637154	Ayman Bahgat Kamar	music_department,writer,composer
nm2197796	Chris Ordal	producer,director,writer
nm0812625	Fernando E. Solanas	producer,director,writer
nm0233686	Adolfo Doring	director,cinematographer,editor
nm8934095	Stefan Mandachi	director,writer
nm0698184	Priyadarshan	director,writer,actor
nm11821612	Kotiganahalli Ramaiah	writer
nm1315554	Gunars Priede	writer
nm0104487	Larry Brand	writer,director,actor
nm11405210	Dusan Nestorovic	director,writer,cinematographer
nm3159991	Edvins Snore	miscellaneous,director,writer
nm0907991	Luke Walker	producer,miscellaneous,actor
nm5676658	Nagashekar	actor,director,writer
nm0598531	Mark Monroe	producer,writer,director
nm2654633	Rachel Warner	writer,producer,director
nm2497546	David F. Sandberg	director,writer,producer
nm11953273	Pulkit Philip	editor,writer
nm2410803	Callie T. Wiser	editorial_department,producer,director
nm0789737	George Bernard Shaw	writer,actor,director
nm3167229	Martyn Park	writer,editor,director
nm7019609	Bandi Saroj Kumar	director,writer,actor
nm1366561	Mads Brügger	writer,producer,director
nm11966453	Srini Josyula	director,writer
nm7253286	Jeo Baby	director,writer,actor
nm10450045	Raj Virat	director,writer
nm6579579	Darling Swamy	writer,director
nm5807514	Kiranmayi Indraganti	director,writer,producer
nm3233125	Masuma Virjee	director,writer
nm8920190	Sharis Mohammed	writer,music_department,soundtrack
nm3722244	Ejaz Khan	director,producer,writer
nm2397810	Pearl Wilson	actress,writer,producer
nm8997362	Bradley Charlton	director,writer,actor
nm0156828	Timothy A. Chey	producer,director,writer
nm7630832	Krishnadev Yagnik	director,writer
nm9295342	Shadab Ahmad	writer,director,assistant_director
nm0634240	Christopher Nolan	writer,producer,director
nm0002172	Mukul Anand	director,writer,producer
nm3542231	Rahul Patel	writer
nm1069500	Sam Logan Khaleghi	producer,actor,director
nm3362570	M. Black	director,editor,producer
nm5926708	Samuel D. Hunter	writer,producer
nm0092555	K.C. Bokadia	director,writer,producer
nm6281092	Alexei Navalny	director,writer,soundtrack
nm5511772	Dhruv Lather	director,cinematographer,writer
nm3360706	Aaron Guzikowski	writer,producer
nm12296320	Frost	writer
nm0045675	Des Brady	actor,writer,assistant_director
nm12306532	Sk Sachin	writer
nm3828427	Rob Gardner	composer,director,writer
nm0326320	Scott Goldstein	producer,director,writer
nm3642592	Pravin Tarde	writer,actor,director
nm6127822	Ganesh Vinayak	director,writer
nm1033297	Chi Udayashankar	music_department,writer,actor
nm0001081	Cameron Crowe	writer,producer,director
nm10365311	Ratheesh Balakrishnan Poduval	director,writer,actor
nm9575606	Damon Penn Jr.	director,writer,cinematographer
nm2513694	Yorgos Avgeropoulos	director,writer,producer
nm3419321	Manish Pandey	writer,director,producer
nm5648237	Srimanta Senguptta	director,producer,writer
nm12421667	Rakesh Kuriakose	writer,producer
nm0836909	Muthyala Subbaiah	director,writer
nm12444120	Sourav	writer
nm10870937	Raam Mori	writer,costume_department
nm9262312	Mohammad Mohammadian	director,writer,editor
nm3605561	Özgür Selvi	director,writer,assistant_director
nm5844896	Mathivanan Sakthivel	writer,director,actor
nm3475289	Charlie Fink	soundtrack,writer,director
nm5950947	Tommy Anderson	director,writer,editor
nm3492257	Sean Gerowin	producer,director,writer
nm11785575	Danielle Winter	editor,camera_department,director
nm12556129	Santosh	director,writer
nm12558294	Bikash Subedi	writer,assistant_director
nm3520587	Chris Butler	editor,producer,director
nm12573508	Abhiram Reddy Dasari	producer,actor,writer
nm1004985	Yashpal Sharma	actor,producer,director
nm3529659	Radu Olievschi	director,writer,cinematographer
nm11159985	Bhat Pavan	writer,music_department,director
nm2293007	William T. Still	writer,director,editor
nm3555995	Geoff Edgers	writer,actor,producer
nm12664679	Ramanjaneya Sivanna	writer
nm1625220	Emin Alper	director,actor,writer
nm2875023	Spencer Folmar	manager,producer,director
nm10281577	Koyoharu Gotouge	
nm10281577	Koyoharu Gotouge	
nm10281577	Koyoharu Gotouge	
nm3586222	Thiagarajan Kumararaja	writer,director,music_department
nm6157331	Rui Constantino	director,writer,cinematographer
nm12731645	Tamizh	director
nm1409622	Lee Hae-jun	writer,director,script_department
nm3591496	Ram	director,writer,actor
nm12743985	Tmr	
nm0782436	David Seidler	writer
nm2447902	Andrei Dascalescu	editor,producer,director
nm12783015	Umesh Sharma	writer,producer
nm1075855	Anar Rzayev	writer,director
nm12786822	Ham R.	writer
nm2077225	Eddie Mensore	producer,director,writer
nm12799861	Nataraj .G.	director,writer
nm12276991	Shiva Eturi	director,writer
nm6474441	H. Vinoth	director,writer
nm1196102	Rajsekhar	director,miscellaneous,actor
nm2685552	Paulo Henrique Fontenelle	editor,director,writer
nm3220687	Corey Moss	producer,writer,director
nm12827869	Sivudu	director,writer
nm14094646	Ajay Nali	writer
nm2547182	Takehiko Inoue	writer,director,animation_department
nm12851172	Adari Murthy Sai	director,writer
nm3642647	Paresh Mokashi	director,writer,actor
nm2037986	Irakli Solomonashvili	writer,actor,miscellaneous
nm9262312	Mohammad Mohammadian	director,writer,editor
nm12876630	Pradeep Sastry	director,writer
nm1750066	Ralph Chapman	producer,writer,actor
nm1974917	James Kleinert	producer,director,cinematographer
nm9262312	Mohammad Mohammadian	director,writer,editor
nm6142895	Rishab Shetty	actor,director,producer
nm12262379	Dinil P.K.	writer
nm7256990	Deepthi Nair	writer,producer
nm1564617	Mark Deeble	cinematographer,director,writer
nm11923265	Jadesh Kumar Hampi	director,writer
nm8048359	Sanjay Upadhyay	writer
nm12917582	Prasun Chatterjee	director,writer,producer
nm7181426	Eswar Kotravai	director,writer
nm12922148	SureshKumarKusireddy	writer,producer
nm1367153	Lasse Hoile	editor,director,editorial_department
nm0879983	Nezih Ünen	composer,producer,director
nm11291284	Tharun Moorthy	director,writer,actor
nm8981908	Serena Dc	producer,writer,actress
nm13664572	Syam Lenin	writer
nm3454743	Prabu Solomon	director,writer,assistant_director
nm12956224	Praveen Reddy T.	writer,producer
nm13455929	Ravi Charan	
nm12977508	Bamidipati Veera	director,writer
nm12986374	Deepak Prabhakar Mandade	director,writer
nm6009072	Joseph Lando	director,writer,actor
nm11037470	Manish Muradiya	miscellaneous,writer
nm12998557	Chanakya Patel	director,writer,cinematographer
nm5141283	Amy Taylor	director,editor,cinematographer
nm0625747	Stanley Nelson	producer,director,writer
nm13013915	Joshua Whitehead	writer
nm0171443	Nesli Çölgeçen	director,writer,cinematographer
nm13039848	A.B. Binil	assistant_director,director,actor
nm11681785	Maasthi Upparahalli	writer
nm9955426	Jayathirtha	director,writer
nm11233680	Anurag Jha	actor,producer,writer
nm11443599	Sri Sai Durga	actress,writer
nm13091611	Valaja Kranthi	director
nm2559488	Deva Katta	director,writer,music_department
nm3820216	Justin Salerian	writer,director,assistant_director
nm1069826	Gautham Vasudev Menon	director,writer,actor
nm2289322	Sekhar Kammula	writer,director,producer
nm13134781	Yuvaraj D.	writer
nm13138682	Dilip Mohan	writer,actor
nm13143364	Anand Raaj	actor,writer
nm0598531	Mark Monroe	producer,writer,director
nm3682643	Christina Ruddy	writer
nm8314446	Anil Kulchainiya	director,writer
nm7609215	Bene Dion Rajagukguk	writer,director,actor
nm0615948	Vagif Mustafayev	director,writer,actor
nm0678313	Vladimir Petrovic	director,editor,assistant_director
nm0725132	Len Richmond	writer,miscellaneous,director
nm10281577	Koyoharu Gotouge	
nm10281577	Koyoharu Gotouge	
nm1957016	Andrei Severny	director,editor,cinematographer
nm6458915	Ram Babu Gurung	director,writer,actor
nm0160666	Ivaylo Hristov	actor,director,writer
nm1379896	Ty Evans	cinematographer,director,editor
nm2118394	Alexa Makky	writer,director,producer
nm6157331	Rui Constantino	director,writer,cinematographer
nm8435845	Yogee Qumaar	director,writer,producer
nm13285987	Manu Pv	director,writer
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm1681049	Alexander Nanau	cinematographer,director,writer
nm2966708	Gary King	director,writer,editor
nm0431049	Dereck Joubert	producer,writer,cinematographer
nm1066396	Ranjith	writer,director,producer
nm13285658	Savithcchandra	director,writer
nm4004072	Mirza Ibrahimov	writer
nm13286012	Rayhan Khan	director,writer
nm4672801	Don Tjernagel	producer,writer,actor
nm8264095	Balu Sharma	writer,director,actor
nm0661401	Michael Parfit	writer,editor,director
nm3476796	Isa Hüseynov	writer
nm2628394	Joe DiPietro	writer,soundtrack,music_department
nm13315996	Patnaik	director,actor,writer
nm9829530	Digpal Lanjekar	writer,director,music_department
nm6157331	Rui Constantino	director,writer,cinematographer
nm4098215	Matthew Austin Brown	writer,producer
nm3998180	Marcelo Grion	writer,producer,director
nm3167229	Martyn Park	writer,editor,director
nm5429277	Arun Roy	director,writer
nm6905889	Vishwanath Batchu	director,writer,legal
nm4070082	Christos Ketikidis	producer,director,editor
nm4169405	Samruoddhi Porey	writer,producer,director
nm1680229	Yograj Bhat	music_department,writer,director
nm3168346	Craig Deering	writer,actor,director
nm4183640	William H. Whyte	director,writer
nm2879822	Peter Joseph	writer,director,editor
nm4203108	Darren Wilson	writer,producer,director
nm3340250	Boris Malagurski	director,editor,writer
nm4070082	Christos Ketikidis	producer,director,editor
nm0005069	Spike Jonze	producer,writer,director
nm12023551	Mallarapu Kumar	writer
nm0683400	John Pilger	writer,director,producer
nm2840629	Steve Rahaman	producer,director,editor
nm3346260	Matt Zemlin	actor,producer,composer
nm13388287	Bhardwaj	writer
nm5418890	Vicky Zahed	director,writer,producer
nm14131551	Pradeep Kumar Kavumthara	writer
nm0200436	Cosima Dannoritzer	director,writer,editor
nm1072259	Fredric Lean	writer,producer,director
nm1782844	Amr Salama	director,writer,producer
nm8879765	Shannon Alexander	producer,director,writer
nm4290030	Paul Grignon	writer,animation_department,composer
nm4296517	Jon Garcia	producer,director,writer
nm1410815	Asghar Farhadi	writer,director,producer
nm4199426	Mysskin	writer,director,actor
nm3285629	Amit Ashraf	producer,writer,director
nm4343792	Richard Yeagley	producer,director,writer
nm0482541	Petar Lalovic	cinematographer,director,writer
nm0204920	Julia Davis	producer,writer,director
nm0000233	Quentin Tarantino	writer,actor,producer
nm4359456	Imre Azem	director,writer,cinematographer
nm8108797	Vijay	writer
nm0406532	Maksud Ibragimbekov	writer,director
nm3701120	David Aboucaya	actor,producer,director
nm1521546	John Downer	director,producer,writer
nm2012385	Miklós Tamási	writer
nm3381565	Glynn Norman	producer,writer,actor
nm2716176	Shoaib Mansoor	director,producer,writer
nm4415855	Scott Noble	director,editor,writer
nm1848132	Sanjiv Jaiswal	writer,director,producer
nm4347845	Taylor Golonka	music_department,producer,sound_department
nm0548159	Lily Mariye	actress,director,writer
nm4415855	Scott Noble	director,editor,writer
nm4199426	Mysskin	writer,director,actor
nm4465031	Muhammad Zafar Iqbal	writer,script_department
nm12299584	Fatimah Sattar	actress,writer,visual_effects
nm13834761	Suresh Reddy Akkala	director,writer
nm13570267	N.V. Augustine	writer
nm13587043	NagaDurgaRaoSana	director,writer
nm13582638	VandelaVenkat	director,writer
nm9615179	K. Venkatesh	director,writer
nm13628452	VenkatKacharla	writer
nm0604948	Peter Morgan	writer,producer,actor
nm4532781	Joel Strunk	director,writer,producer
nm4531969	Jitin Rawat	writer,director,composer
nm1583736	Zoltán Török	cinematographer,director,writer
nm8528554	D. Satya Prakash	writer,director,producer
nm2827567	Pavel Cuzuioc	sound_department,director,producer
nm3642592	Pravin Tarde	writer,actor,director
nm8985907	Jeevitha Rajashekhar	director,writer
nm1159041	Tulsi Ghimire	director,editor,writer
nm3827692	Christian Marclay	director,writer,producer
nm3051496	Koran Dunbar	actor,producer,director
nm10469813	N.R. Reddy	director,writer
nm2697482	Mahmoud Abu Zeid	writer,music_department,producer
nm3096787	Nigel Moran	producer,director,actor
nm2748001	Darren Marshall	editor,camera_department,producer
nm4697611	Giedre Zickyte	director,writer,producer
nm13718042	Suresh Mapoor	director,writer
nm13721366	Naga Dhanush	director,writer
nm4260569	A. Sarkunam	director,writer,producer
nm2971390	Girish Kulkarni	actor,writer,producer
nm8122061	Qais Pasha	writer,director,camera_department
nm4746875	Georgi Stoev	writer
nm4752140	María Fernanda Restrepo	director,writer
nm13746589	Mohan Srivatsasa	writer
nm0187877	Robert X. Cringely	writer
nm13770387	Akula Kasi Viswanath	director,writer
nm13770247	Satya Rachakonda	director,writer
nm13777888	Suzie Miller	writer
nm13781498	Kuppili Srinivas	director,actor,writer
nm0316795	Alex Gibney	producer,director,writer
nm0602836	Dylan Moran	actor,writer,soundtrack
nm13798939	P M Veeresh	director,writer
nm13802269	Johnson John Fernandez	director,writer
nm2073620	Jesse Vile	director,producer,writer
nm4672801	Don Tjernagel	producer,writer,actor
nm5228009	Amol Kolhe	actor,producer
nm13823564	Bommareddy VRR	director,writer
nm11217099	Mike R. Ortiz	producer,director,writer
nm1980584	Juraj Lerotic	director,writer,actor
nm1873405	Sandeep Baswana	actor
nm12429978	N.S.R. Prasad	director
nm5943474	Amoghavarsha	director,cinematographer,writer
nm13874757	Shivashis Banerjee	writer
nm7019609	Bandi Saroj Kumar	director,writer,actor
nm5575109	Kinslin	director,writer
nm13857519	Raj Althada	director,writer
nm0155027	Sanjay Chhel	writer,director,producer
nm9679750	Mariana Starciuc	writer,producer
nm1475260	Balaji Sakthivel	writer,actor,director
nm1463981	Çagan Irmak	director,writer,production_designer
nm4241449	M. Sasikumar	actor,producer,director
nm0666674	Anand Patwardhan	director,editor,producer
nm12628410	Lucky Hansraj	director,editor,writer
nm5367126	Ergys Meta	writer,director,editor
nm1919905	Donavon Warren	producer,actor,director
nm6217117	Rajendra Darshan	director,writer
nm0517665	Tom Logan	director,producer,writer
nm13947144	Praneeth Pandaga	director,writer
nm13955174	Gautham Krishna.D	director,actor,writer
nm13956159	Ram Mohan Kanchukommala	director,actor,writer
nm12800892	Zeynep Miraç	writer
nm0862504	Fen Tian	writer,producer,director
nm13967887	Sooraj V. Dev	writer
nm13982495	Hanumaan Vasamsetty	director,writer
nm5089991	Erkut Altindag	director,producer,writer
nm0274109	Michelle Ferrari	writer,miscellaneous,script_department
nm1575936	M. Sindhuraj	writer
nm14000830	Lakshmi Ramesh	director,writer
nm9315941	Shivraj Deval	writer,director,sound_department
nm14027035	Ravi Sri Durga Prasad	writer
nm14050080	Tori Rose	writer
nm11049192	Abhilash Pillai	writer
nm2409430	Khaled Diab	writer,director,miscellaneous
nm11227474	Parasuram Srinivas	writer,director
nm6126841	Joe Gawalis	producer,actor,director
nm4307420	Mercedes Grant	producer,writer,director
nm3250747	Anjali Menon	writer,director,producer
nm0465579	Deborah Koons Garcia	director,producer,writer
nm14082729	Saajir Sadaf	director,writer
nm14084744	Bairava	director,writer
nm1681049	Alexander Nanau	cinematographer,director,writer
nm1636775	Fedja Isovic	writer,actor
nm14099730	Valentina Blaumann	writer
nm10869704	Pradeep Ranganathan	writer,director,actor
nm14111507	K.P. Tanasekar	director,writer
nm3994747	Boodee Keerthisena	director,producer,writer
nm14120621	Manu Krishna	director,writer,composer
nm1179678	André Schneider	actor,writer,producer
nm5058839	Gillian Flynn	writer,producer,actress
nm5409199	Slavko Martinov	producer,director,writer
nm0598408	András Monory Mész	cinematographer,actor,director
nm0553670	Raoul Martinez	director,writer,art_department
nm14180636	Manoj Bharathy	writer
nm14327490	S. Srikanth	writer
nm7808375	Pritam Sarkar	director,writer,editor
nm3574246	Marco Bonfanti	director,writer,producer
nm1417315	Vikraman	cinematographer,director,writer
nm1962192	Upendra	actor,music_department,writer
nm5216445	Marc Vespi	writer,director,producer
nm12201419	Apsar	actor,writer,director
nm14215571	Rayud Bandi	writer
nm2243359	Gajendra Ahire	director,writer,actor
nm4254419	Nabwana I.G.G.	writer,producer,director
nm1149334	Prasoon Joshi	music_department,soundtrack,writer
nm0958539	Dan Zukovic	actor,director,writer
nm0089124	Linda Bloodworth-Thomason	writer,producer,director
nm5237694	Pawan Kumar	writer,producer,actor
nm4347845	Taylor Golonka	music_department,producer,sound_department
nm14231337	Mokssh	director,writer,composer
nm14240889	Arun Barathi L	director,writer
nm5020993	Dan Handley	director,writer,editor
nm3109770	Neeraj Pandey	writer,director,producer
nm14266001	Sulfi	director,writer
nm14281251	Bhaskar R	director,writer
nm5422794	Manoj Kana	director,writer,actor
nm14281913	K. Shemeer	director,writer
nm2273332	Juli Jackson	animation_department,director,cinematographer
nm11699855	Karthik Maralabhavi	writer,director
nm13993049	Naresh Paruchuri	writer
nm1363713	Girish Joshi	writer,actor
nm10255484	Korea Black	director,writer,producer
nm6407832	Anand Ravi	writer,actor,director
nm13505288	N.S. Murthy	producer,director,writer
nm14396513	Subhadeep Das	writer
nm0799734	Derrick Simmons	stunts,actor,producer
nm2119365	Brent E. Huffman	producer,cinematographer,director
nm14317301	Ranjith Rao	director,writer,producer
nm5289825	Daniel Schmidt	director,producer,writer
nm5292611	Matt Riggle	editor,director,writer
nm1224554	Vladan Nikolic	producer,director,writer
nm3603277	Nizam Razak	director,writer,actor
nm3136855	David Albert Habif	producer,director,camera_department
nm0388129	Ty Hodges	actor,producer,director
nm2157182	Jayantha Chandrasiri	writer,director,music_department
nm0030417	Hideaki Anno	director,writer,art_department
nm3740964	Amel Tresnjic	director,writer,editor
nm2561463	Can Candan	director,producer,miscellaneous
nm3093965	Carlos Etzio Roman	writer,director,producer
nm0907991	Luke Walker	producer,miscellaneous,actor
nm13345583	Jai Amar Singh	director,writer
nm14352839	Perumal Kasi	director,writer
nm9055203	Amudhavanan P.	writer,director,cinematographer
nm0549265	Christopher Marlowe	writer,soundtrack
nm1239798	Jean Kilbourne	writer,miscellaneous
nm1622154	Pamela Tom	producer,director,camera_department
nm5389850	Tinatin Gurchiani	director,writer,producer
nm5409154	Balaji Tharaneetharan	director,writer
nm14440361	Bharrath Komalapati	director,writer
nm5429277	Arun Roy	director,writer
nm3227090	Damien Chazelle	writer,producer,director
nm0948000	Cem Yilmaz	actor,writer,director
nm3303929	Michael Rossato-Bennett	editor,producer,director
nm0368908	Jeff Hathcock	director,writer,producer
nm0156828	Timothy A. Chey	producer,director,writer
nm1900414	Camilo Tavares	director,writer
nm4414683	Kris Smith	producer,writer,director
nm3951756	Skip Kite	director,writer,producer
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm5515190	Lisa Diener	director,writer,camera_department
nm2516950	Denis Delestrac	writer,director,producer
nm1092221	Rick McKay	producer,cinematographer,director
nm0468107	Dimitris Koutsiabasakos	director,writer,producer
nm0095745	Kevin Booth	producer,director,editor
nm5616219	Nagraj Manjule	writer,actor,director
nm1839981	Mattias Löw	writer,producer,cinematographer
nm2828392	Micah Brock	actor,producer,director
nm0440204	Jason Kartalian	producer,director,writer
nm5674119	Paul-Julien Robert	director,writer
nm0015299	Alla Akhundova	writer,music_department
nm5186373	Phanindra Narsetti	director,editor,writer
nm4771979	Segun Williams	writer,producer,director
nm1890280	Christopher DeMaci	actor,producer,writer
nm5744563	Guruprasad	actor,director,writer
nm1907554	Kaushik Ganguly	actor,director,writer
nm3883728	Joe L. Roberts	producer,director,writer
nm0868153	Giuseppe Tornatore	writer,director,actor
nm1729382	Murali Gopy	actor,writer,music_department
nm4890808	Kamaleswar Mukherjee	actor,director,writer
nm4628727	Dusty Saunders	camera_department,editor,director
nm1431644	Wahid Hamed	writer,producer
nm2553371	Robert L. Camina	producer,miscellaneous,director
nm2685552	Paulo Henrique Fontenelle	editor,director,writer
nm2685552	Paulo Henrique Fontenelle	editor,director,writer
nm2572228	Jeethu Joseph	writer,director,producer
nm5902303	K.S. Thurai	writer,director,producer
nm1530832	Ji-hye Kim	writer,producer
nm0604948	Peter Morgan	writer,producer,actor
nm1480980	Emma Donoghue	writer,producer,director
nm1914703	Keith Robert Patterson	producer,actor,writer
nm1941022	Leigh Scott	producer,writer,director
nm4199426	Mysskin	writer,director,actor
nm1962192	Upendra	actor,music_department,writer
nm3752091	Kenny Basumatary	actor,director,writer
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm1394009	Gideon C. Kennedy	miscellaneous,producer,director
nm0460534	Brian Knappenberger	producer,director,camera_department
nm0605828	Pranas Morkus	writer
nm2724083	David McIlvride	director,producer,editor
nm1475521	Switchfoot	soundtrack,actor,writer
nm3744875	Alejandra Amarilla	writer,assistant_director,producer
nm0184202	Eduardo Coutinho	director,writer,actor
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm6073824	Prashanth Neel	writer,director
nm5050089	Nicholas Barton	director,writer,editor
nm6083332	Khagendra Lamichhane	actor,writer,miscellaneous
nm3797575	Srijit Mukherji	writer,director,actor
nm2020278	Scott Haze	actor,producer,writer
nm5756214	Rakshit Shetty	actor,producer,writer
nm4409868	Gemma Mc Carthy	writer,director,producer
nm6157331	Rui Constantino	director,writer,cinematographer
nm2572228	Jeethu Joseph	writer,director,producer
nm2258148	Vibha Bakshi	director,producer,writer
nm3680341	James Pratt	director,actor,producer
nm1907554	Kaushik Ganguly	actor,director,writer
nm6189021	John W. Randle	writer
nm6582008	Monja Jovic	writer,producer
nm3915542	Orlando von Einsiedel	director,producer,writer
nm2197925	Lynette Singer	writer,director,producer
nm6211716	Ahmed Mourad	writer
nm2157182	Jayantha Chandrasiri	writer,director,music_department
nm6232444	Deronte Smith	producer,director,writer
nm6288959	Brian Naydol	director,writer,producer
nm6312545	Indika Ferdinando	writer,director,actor
nm4021775	Yuriy Bykov	director,actor,writer
nm1095727	Camilo Cavalcante	director,writer,producer
nm5366274	Karthik Subbaraj	writer,director,producer
nm0923584	Darryl Wharton	writer,director,producer
nm6336746	Zac Simpson	director,writer,cinematographer
nm0064961	Gorman Bechard	director,producer,writer
nm4840433	Brett Michael Innes	producer,writer,director
nm0230859	Xavier Dolan	actor,director,writer
nm1388365	Bob Ahmed	director,writer,producer
nm6403866	Turmunkh Dorjkhand	writer
nm1473176	Mark Hefti	writer,producer,actor
nm4414980	Aris Chatzistefanou	writer,director,cinematographer
nm3250747	Anjali Menon	writer,director,producer
nm6233311	N.V.B. Choudary	writer,script_department,director
nm6457171	Bernie Olaf	director,writer,producer
nm6458915	Ram Babu Gurung	director,writer,actor
nm6481916	Brian Tetsuro Ivie	producer,director,writer
nm1839981	Mattias Löw	writer,producer,cinematographer
nm1984761	Doug Morrione	editor,writer,producer
nm1748951	Ümit Kivanç	editor,director,writer
nm4203108	Darren Wilson	writer,producer,director
nm2525291	David Whittet	producer,writer,director
nm3227090	Damien Chazelle	writer,producer,director
nm1436693	A.R. Murugadoss	writer,director,producer
nm6157331	Rui Constantino	director,writer,cinematographer
nm4169405	Samruoddhi Porey	writer,producer,director
nm0563710	Massimo Mazzucco	director,writer,producer
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm6609600	Aditya Vikram Sengupta	director,writer,editor
nm1643821	Joe Scott	director,writer,music_department
nm6527118	Leon Lee	producer,director,writer
nm2525291	David Whittet	producer,writer,director
nm6034923	Malek Afsari	director,writer,producer
nm1291174	Bidhayak Bhattacharya	writer,actor,music_department
nm0661417	Leonid Parfyonov	writer,director,producer
nm1075855	Anar Rzayev	writer,director
nm0002376	David Hare	writer,producer,director
nm0931783	Tennessee Williams	writer,actor,soundtrack
nm0943445	Phil Wurtzel	producer,director,writer
nm0879889	Leslee Udwin	actress,producer,director
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm0355822	Lee Hall	writer,soundtrack,composer
nm6856823	Chris Delforce	director,editor,writer
nm0007186	Arthur Miller	writer,actor,miscellaneous
nm4766170	Andrius Lekavicius	director,producer,writer
nm1962192	Upendra	actor,music_department,writer
nm1339693	Jorge Pelicano	camera_department,editor,miscellaneous
nm4148549	Soori	director,writer,music_department
nm0406532	Maksud Ibragimbekov	writer,director
nm1150609	Sabit Rakhman	writer
nm4698419	Tim Hahne	director,writer,editor
nm1789501	Greg Whiteley	producer,director,writer
nm5418380	Jérôme Dolbert	producer,writer,cinematographer
nm1298081	Adelina Balashi	writer
nm3796645	Tolga Karaçelik	director,producer,writer
nm0193231	Adam Curtis	director,writer,producer
nm3035371	Abbas Fahdel	sound_department,director,writer
nm7105982	Tertius Kapp	writer,producer,director
nm7124821	Yuki Sato	writer
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm2513694	Yorgos Avgeropoulos	director,writer,producer
nm2973010	Justin Hunt	director,writer,producer
nm2985554	Rhonda Baraka	writer,director,producer
nm3004047	Rob Herring	actor,producer,director
nm3873442	Aleksandras Brokas	director,writer,cinematographer
nm7724543	Joshy Mangalath	writer
nm1943168	Clay Tweel	director,producer,writer
nm4733887	Alphonse Puthren	writer,director,editor
nm7147982	Matthew J. Weiss	producer,director,writer
nm0306872	Craig Gardner	actor,writer,director
nm6157331	Rui Constantino	director,writer,cinematographer
nm7335549	Ieva Ozolina	director,writer,camera_department
nm3340250	Boris Malagurski	director,editor,writer
nm7415469	R. Ravikumar	director,writer
nm4179342	Amberdeep Singh	writer,director,actor
nm4544331	Syam Pushkaran	writer,producer,miscellaneous
nm3274832	Rami Kodeih	director,editor,writer
nm2791178	Giriraj Kaushalya	actor,director,writer
nm7479043	R.S. Vimal	director,writer
nm7038168	Amith	actor,director,writer
nm6762586	Adnan Sarwar	director,actor,writer
nm6568618	Den Tolmor	producer,writer
nm7496161	Azizur Rahman	director,writer,producer
nm1776242	Salim Ahmed	director,writer,producer
nm7510401	Bhaurao Nanasaheb Karhade	director,writer,actor
nm3562580	Alex Fegan	director,writer,editor
nm3679226	Shahid Nadeem	writer,director
nm0368688	Ali Hatami	director,writer,producer
nm7533047	Ostap Kostyuk	director,writer,sound_department
nm2740466	Christopher H.K. Lee	director,producer,writer
nm7061198	Tom Libelt	actor,writer,producer
nm0623715	Mark Neale	director,writer,producer
nm1093900	Bobbito Garcia	actor,director,producer
nm2971390	Girish Kulkarni	actor,writer,producer
nm6612721	Ajay K Saklani	editor,cinematographer,producer
nm1784785	Siddharth Randeria	actor,writer
nm1732981	Martin McDonagh	writer,director,producer
nm6157331	Rui Constantino	director,writer,cinematographer
nm0639782	Richard O'Brien	actor,soundtrack,writer
nm7630832	Krishnadev Yagnik	director,writer
nm0789737	George Bernard Shaw	writer,actor,director
nm0713576	Kavi Raz	actor,producer,director
nm2136272	Yaron Betan	producer,director,writer
nm0953261	Frank Zappa	soundtrack,composer,director
nm7733844	Raphael Treza	director,producer,writer
nm4414980	Aris Chatzistefanou	writer,director,cinematographer
nm0280541	Jim Fitzpatrick	actor,producer,director
nm4432410	Brandon Kimber	director,producer,editor
nm0928492	Oscar Wilde	writer,soundtrack,miscellaneous
nm0403951	Amjad Hossain	writer,director,actor
nm3212856	Daniel Sandu	director,writer,location_management
nm5361794	B.S. Lingadevaru	director,writer
nm7916318	Syed Salahuddin Zaki	director,writer
nm7920254	Saeed Roustayi	director,writer,producer
nm0045068	Dinesh Babu	director,writer,cinematographer
nm5366274	Karthik Subbaraj	writer,director,producer
nm1582846	Sara Taksler	producer,miscellaneous,director
nm1062779	Eric Pauwels	director,writer,cinematographer
nm2609716	Tauquir Ahmed	actor,writer,director
nm2474072	Skip Shea	producer,writer,director
nm7998946	Fergus Keane	director,writer,actor
